record_kind,identity,primary_state,processing_locality,retention_or_exit,active_or_gate
device_permission_row,device_permission_row:microphone,granted_idle,local_on_device,ephemeral_audio_local_only_no_transcript_retained,false
device_permission_row,device_permission_row:camera,not_yet_requested,processing_unavailable,no_audio_retained_no_transcript_retained,false
device_permission_row,device_permission_row:screen_capture,granted_in_use,local_on_device,no_audio_retained_no_transcript_retained,true
device_permission_row,device_permission_row:system_audio_capture,granted_idle,hosted_remote_disclosed,transcript_retained_provider_per_contract,false
device_permission_row,device_permission_row:clipboard,blocked_by_policy,processing_unavailable,no_audio_retained_no_transcript_retained,false
mic_state_pill,mic_state_pill:idle,idle,local_on_device,correction_optional_before_commit,false
mic_state_pill,mic_state_pill:listening,listening,local_on_device,correction_optional_before_commit,false
mic_state_pill,mic_state_pill:muted,muted,local_on_device,correction_optional_before_commit,false
mic_state_pill,mic_state_pill:processing,processing,hosted_remote_disclosed,correction_required_before_commit,false
mic_state_pill,mic_state_pill:needs_confirmation,needs_confirmation,local_on_device,correction_required_before_commit,true
mic_state_pill,mic_state_pill:unavailable,unavailable,processing_unavailable,correction_unavailable_capture_only,false
mic_state_pill,mic_state_pill:policy_blocked,policy_blocked,processing_unavailable,correction_blocked_by_envelope,false
capture_export_review,capture_export_review:voice_session,raw_never_exported,local_on_device,no_payload_leaves_product,false
capture_export_review,capture_export_review:screen_and_clipboard,redacted_before_export,hosted_remote_disclosed,redacted_support_packet,true
capture_export_review,capture_export_review:device_inventory,metadata_refs_only,local_on_device,no_payload_leaves_product,true
