component_id,family,truth_mode,adapter_source,export_safe,assistive_ready,degraded
component:manifest-editor-header:0001,manifest_editor_header,authored_desired,native_build_server,true,true,none
component:schema-validator-row:0001,schema_validator_row,planned,native_build_server,true,true,policy_block
component:schema-validator-row:0002,schema_validator_row,planned,heuristic_parse,true,true,schema_stale
component:target-context-chip-group:0001,target_context_chip_group,live,provider_overlay,true,true,none
component:resource-link-row:0001,resource_link_row,rendered,native_build_server,true,true,none
component:resource-explorer-row:0001,resource_explorer_row,live,imported_snapshot,true,true,connector_loss
component:adapter-source-badge:0001,adapter_source_badge,live,native_build_event,true,true,none
component:adapter-source-badge:0002,adapter_source_badge,rendered,heuristic_parse,true,true,adapter_unavailable
component:target-graph-row:0001,target_graph_row,rendered,native_build_server,true,true,none
component:capability-matrix:0001,capability_matrix,live,native_build_server,true,true,none
component:capability-matrix:0002,capability_matrix,rendered,heuristic_parse,true,true,low_confidence_discovery
component:raw-event-drawer:0001,raw_event_drawer,live,native_build_event,true,true,none
component:fallback-confidence-drawer:0001,fallback_confidence_drawer,rendered,heuristic_parse,true,true,structured_channel_lost
component:fallback-confidence-drawer:0002,fallback_confidence_drawer,live,native_build_event,true,true,none
