component_id,family,preview_surface,source_sync,round_trip,export_safe,assistive_ready,degraded
component:design-canvas:0001,design_canvas,visual_surface_mapping,in_sync_from_source,exact_source_round_trip,true,true,none
component:structure-tree-row:0001,structure_tree_row,visual_surface_mapping,in_sync_from_source,exact_source_round_trip,true,true,none
component:structure-tree-row:0002,structure_tree_row,visual_surface_mapping,unidentified_source_sync,inspect_only_no_write,true,true,unmapped_source
component:property-inspector-row:0001,property_inspector_row,visual_edit_transform,in_sync_from_source,approximate_source_round_trip,true,true,none
component:property-inspector-row:0002,property_inspector_row,visual_edit_transform,in_sync_from_source,source_only_fallback,true,true,unsupported_construct
component:source-sync-chip:0001,source_sync_chip,source_first_framework_preview,drifted_from_source,inspect_only_no_write,true,true,drifted_from_source
component:breakpoint-preview-row:0001,breakpoint_preview_row,device_or_simulator_preview,in_sync_from_source,approximate_source_round_trip,true,true,none
component:breakpoint-preview-row:0002,breakpoint_preview_row,device_or_simulator_preview,runtime_only_no_source,inspect_only_no_write,true,true,unmapped_source
component:unsupported-construct-card:0001,unsupported_construct_card,visual_edit_transform,in_sync_from_source,source_only_fallback,true,true,unsupported_construct
component:round-trip-conflict-banner:0001,round_trip_conflict_banner,visual_edit_transform,pending_rebuild,exact_source_round_trip,true,true,round_trip_conflict_open
