claim,claimed_posture,active_state,effective_qualification,claim_owner,fallback_posture,fallback_state,control,proof_state,evidence_class,evidence_freshness,control_owner,proof_ref,gap_kind
local_first_continuity,managed,proven,stable,assurance_center_owner,,,local_edit_continuity,proven,boundary_manifest,current,assurance_center_owner,artifacts/release-proof/m5-assurance-route-governance/capability-boundary.json,
telemetry_control,self_hosted,proven,stable,telemetry_governance_owner,,,telemetry_egress_gate,proven,policy_bundle,current,telemetry_governance_owner,artifacts/release-proof/m5-assurance-route-governance/governance-freshness.json,
key_ownership,self_hosted,proven,stable,key_custody_owner,,,customer_managed_key_custody,proven,control_attestation,current,key_custody_owner,artifacts/release-proof/m5-assurance-route-governance/control-proof.json,
key_ownership,self_hosted,proven,stable,key_custody_owner,,,local_key_escrow,proven,control_attestation,current,key_custody_owner,artifacts/release-proof/m5-assurance-route-governance/control-proof.json,
data_residency,regulated,proven,stable,data_residency_owner,,,data_residency_pin,proven,policy_bundle,current,data_residency_owner,artifacts/release-proof/m5-assurance-route-governance/assurance-claim.json,
regulated_operation,regulated,proven,stable,regulated_assurance_owner,,,regulated_audit_trail,proven,control_attestation,current,control_proof_owner,artifacts/release-proof/m5-assurance-route-governance/assurance-claim.json,
regulated_operation,regulated,proven,stable,regulated_assurance_owner,,,data_residency_pin,proven,policy_bundle,current,data_residency_owner,artifacts/release-proof/m5-assurance-route-governance/assurance-claim.json,
air_gap_containment,sovereign,proven,stable,air_gap_assurance_owner,,,vendor_path_severed,proven,route_timeline,current,route_explainability_owner,artifacts/release-proof/m5-assurance-route-governance/route-hop.json,
air_gap_containment,sovereign,proven,stable,air_gap_assurance_owner,,,offline_update_path,proven,provenance_ledger,current,event_provenance_owner,artifacts/release-proof/m5-assurance-route-governance/event-provenance.json,
sovereign_deployment,sovereign,proven,stable,sovereign_assurance_owner,,,sovereign_control_plane,proven,boundary_manifest,current,capability_boundary_owner,artifacts/release-proof/m5-assurance-route-governance/capability-boundary.json,
sovereign_deployment,sovereign,proven,stable,sovereign_assurance_owner,,,customer_managed_key_custody,proven,control_attestation,current,key_custody_owner,artifacts/release-proof/m5-assurance-route-governance/control-proof.json,
sovereign_deployment,sovereign,proven,stable,sovereign_assurance_owner,,,vendor_path_severed,proven,route_timeline,current,route_explainability_owner,artifacts/release-proof/m5-assurance-route-governance/route-hop.json,
