profile,claimed_qualification,effective_qualification,profile_gate,dimension,outcome,proof_freshness,state_gate,worst_state,backing_facets,proof_refs,gap_kind
managed,stable,stable,governed,assurance_center,certified,current,governed,pass,assurance_claim|control_proof|exception_waiver,artifacts/release-proof/m5-assurance-route-governance/assurance-claim.json|artifacts/release-proof/m5-assurance-route-governance/control-proof.json|artifacts/release-proof/m5-assurance-route-governance/exception-waiver.json,
managed,stable,stable,governed,governance,certified,current,governed,pass,governance_freshness|service_ownership,artifacts/release-proof/m5-assurance-route-governance/governance-freshness.json|artifacts/release-proof/m5-assurance-route-governance/service-ownership.json,
managed,stable,stable,governed,boundary_route,certified,current,governed,approved,capability_boundary|route_hop|approval_ticket,artifacts/release-proof/m5-assurance-route-governance/capability-boundary.json|artifacts/release-proof/m5-assurance-route-governance/route-hop.json|artifacts/release-proof/m5-assurance-route-governance/approval-ticket.json,
managed,stable,stable,governed,event_provenance,certified,current,governed,fully_traced,event_provenance,artifacts/release-proof/m5-assurance-route-governance/event-provenance.json,
self_hosted,stable,stable,governed,assurance_center,certified,current,governed,pass,assurance_claim|control_proof|exception_waiver,artifacts/release-proof/m5-assurance-route-governance/assurance-claim.json|artifacts/release-proof/m5-assurance-route-governance/control-proof.json|artifacts/release-proof/m5-assurance-route-governance/exception-waiver.json,
self_hosted,stable,stable,governed,governance,certified,current,governed,pass,governance_freshness|service_ownership,artifacts/release-proof/m5-assurance-route-governance/governance-freshness.json|artifacts/release-proof/m5-assurance-route-governance/service-ownership.json,
self_hosted,stable,stable,governed,boundary_route,certified,current,governed,approved,capability_boundary|route_hop|approval_ticket,artifacts/release-proof/m5-assurance-route-governance/capability-boundary.json|artifacts/release-proof/m5-assurance-route-governance/route-hop.json|artifacts/release-proof/m5-assurance-route-governance/approval-ticket.json,
self_hosted,stable,stable,governed,event_provenance,certified,current,governed,fully_traced,event_provenance,artifacts/release-proof/m5-assurance-route-governance/event-provenance.json,
regulated,stable,stable,governed,assurance_center,certified,current,governed,pass,assurance_claim|control_proof|exception_waiver,artifacts/release-proof/m5-assurance-route-governance/assurance-claim.json|artifacts/release-proof/m5-assurance-route-governance/control-proof.json|artifacts/release-proof/m5-assurance-route-governance/exception-waiver.json,
regulated,stable,stable,governed,governance,certified,current,governed,pass,governance_freshness|service_ownership,artifacts/release-proof/m5-assurance-route-governance/governance-freshness.json|artifacts/release-proof/m5-assurance-route-governance/service-ownership.json,
regulated,stable,stable,governed,boundary_route,certified,current,governed,approved,capability_boundary|route_hop|approval_ticket,artifacts/release-proof/m5-assurance-route-governance/capability-boundary.json|artifacts/release-proof/m5-assurance-route-governance/route-hop.json|artifacts/release-proof/m5-assurance-route-governance/approval-ticket.json,
regulated,stable,stable,governed,event_provenance,certified,current,governed,fully_traced,event_provenance,artifacts/release-proof/m5-assurance-route-governance/event-provenance.json,
sovereign,stable,stable,governed,assurance_center,certified,current,governed,attested,assurance_claim|control_proof,artifacts/release-proof/m5-assurance-route-governance/assurance-claim.json|artifacts/release-proof/m5-assurance-route-governance/control-proof.json,
sovereign,stable,stable,governed,governance,certified,current,governed,pass,governance_freshness|service_ownership,artifacts/release-proof/m5-assurance-route-governance/governance-freshness.json|artifacts/release-proof/m5-assurance-route-governance/service-ownership.json,
sovereign,stable,stable,governed,boundary_route,certified,current,governed,attributed_remote,capability_boundary|route_hop,artifacts/release-proof/m5-assurance-route-governance/capability-boundary.json|artifacts/release-proof/m5-assurance-route-governance/route-hop.json,
sovereign,stable,stable,governed,event_provenance,certified,current,governed,fully_traced,event_provenance,artifacts/release-proof/m5-assurance-route-governance/event-provenance.json,
