claim,claimed_posture,reduced_state,effective_qualification,claim_owner,nearest_posture,nearest_state,precondition,status,gate,evidence_class,precondition_owner,proof_ref,drift
local_first_continuity,managed,proven,stable,assurance_center_owner,,,evidence_freshness,satisfied,governed,control_attestation,control_proof_owner,artifacts/release-proof/m5-assurance-route-governance/control-proof.json,
local_first_continuity,managed,proven,stable,assurance_center_owner,,,policy_control_path,satisfied,governed,policy_bundle,policy_governance_owner,artifacts/release-proof/m5-assurance-route-governance/governance-freshness.json,
telemetry_control,self_hosted,proven,stable,telemetry_governance_owner,,,evidence_freshness,satisfied,governed,control_attestation,control_proof_owner,artifacts/release-proof/m5-assurance-route-governance/control-proof.json,
telemetry_control,self_hosted,proven,stable,telemetry_governance_owner,,,hosted_dependency_boundary,satisfied,governed,route_timeline,route_explainability_owner,artifacts/release-proof/m5-assurance-route-governance/route-hop.json,
telemetry_control,self_hosted,proven,stable,telemetry_governance_owner,,,policy_control_path,satisfied,governed,policy_bundle,policy_governance_owner,artifacts/release-proof/m5-assurance-route-governance/governance-freshness.json,
key_ownership,self_hosted,proven,stable,key_custody_owner,,,evidence_freshness,satisfied,governed,control_attestation,control_proof_owner,artifacts/release-proof/m5-assurance-route-governance/control-proof.json,
key_ownership,self_hosted,proven,stable,key_custody_owner,,,key_residency,satisfied,governed,boundary_manifest,key_custody_owner,artifacts/release-proof/m5-assurance-route-governance/capability-boundary.json,
data_residency,regulated,proven,stable,data_residency_owner,,,evidence_freshness,satisfied,governed,control_attestation,control_proof_owner,artifacts/release-proof/m5-assurance-route-governance/control-proof.json,
data_residency,regulated,proven,stable,data_residency_owner,,,hosted_dependency_boundary,satisfied,governed,route_timeline,route_explainability_owner,artifacts/release-proof/m5-assurance-route-governance/route-hop.json,
data_residency,regulated,proven,stable,data_residency_owner,,,key_residency,satisfied,governed,boundary_manifest,key_custody_owner,artifacts/release-proof/m5-assurance-route-governance/capability-boundary.json,
regulated_operation,regulated,proven,stable,regulated_assurance_owner,,,evidence_freshness,satisfied,governed,control_attestation,control_proof_owner,artifacts/release-proof/m5-assurance-route-governance/control-proof.json,
regulated_operation,regulated,proven,stable,regulated_assurance_owner,,,hosted_dependency_boundary,satisfied,governed,route_timeline,route_explainability_owner,artifacts/release-proof/m5-assurance-route-governance/route-hop.json,
regulated_operation,regulated,proven,stable,regulated_assurance_owner,,,key_residency,satisfied,governed,boundary_manifest,key_custody_owner,artifacts/release-proof/m5-assurance-route-governance/capability-boundary.json,
regulated_operation,regulated,proven,stable,regulated_assurance_owner,,,policy_control_path,satisfied,governed,policy_bundle,policy_governance_owner,artifacts/release-proof/m5-assurance-route-governance/governance-freshness.json,
air_gap_containment,sovereign,proven,stable,air_gap_assurance_owner,,,evidence_freshness,satisfied,governed,control_attestation,control_proof_owner,artifacts/release-proof/m5-assurance-route-governance/control-proof.json,
air_gap_containment,sovereign,proven,stable,air_gap_assurance_owner,,,hosted_dependency_boundary,satisfied,governed,route_timeline,route_explainability_owner,artifacts/release-proof/m5-assurance-route-governance/route-hop.json,
air_gap_containment,sovereign,proven,stable,air_gap_assurance_owner,,,policy_control_path,satisfied,governed,policy_bundle,policy_governance_owner,artifacts/release-proof/m5-assurance-route-governance/governance-freshness.json,
sovereign_deployment,sovereign,proven,stable,sovereign_assurance_owner,,,evidence_freshness,satisfied,governed,control_attestation,control_proof_owner,artifacts/release-proof/m5-assurance-route-governance/control-proof.json,
sovereign_deployment,sovereign,proven,stable,sovereign_assurance_owner,,,hosted_dependency_boundary,satisfied,governed,route_timeline,route_explainability_owner,artifacts/release-proof/m5-assurance-route-governance/route-hop.json,
sovereign_deployment,sovereign,proven,stable,sovereign_assurance_owner,,,key_residency,satisfied,governed,boundary_manifest,key_custody_owner,artifacts/release-proof/m5-assurance-route-governance/capability-boundary.json,
sovereign_deployment,sovereign,proven,stable,sovereign_assurance_owner,,,policy_control_path,satisfied,governed,policy_bundle,policy_governance_owner,artifacts/release-proof/m5-assurance-route-governance/governance-freshness.json,
