component,id,state_or_scope,kind_or_content,derived,safe_flag,deep_link_kind
artifact_lineage_panel,al-model-001,lineage_complete,model_checkpoint,fully_traced,true,run_object
artifact_lineage_panel,al-metrics-002,regenerated,metrics_table,regenerated,true,run_object
artifact_lineage_panel,al-plot-003,lineage_partial,plot_figure,partially_traced,false,notebook_location
artifact_lineage_panel,al-report-004,derived_upstream_known,exported_report,partially_traced,false,run_object
artifact_lineage_panel,al-log-005,lineage_broken,log_bundle,untraced,false,docs_anchor
artifact_lineage_panel,al-unknown-006,derived_upstream_unknown,unknown_artifact,untraced,false,no_deep_link
result_summary_card,rs-headline-001,summary_scope,headline_metric,metadata_safe,true,run_object
result_summary_card,rs-metrics-002,metadata_scope,metric_table,metadata_safe,true,run_object
result_summary_card,rs-narrative-003,evidence_scope,narrative_summary,evidence_scoped,false,notebook_location
result_summary_card,rs-evidence-004,redacted_scope,evidence_link,redacted,false,docs_anchor
result_summary_card,rs-raw-005,raw_scope,raw_payload_ref,raw_included,false,docs_anchor
result_summary_card,rs-noresult-006,export_withheld,no_result,withheld,false,no_deep_link
