control,id,kind_or_identity,scope_or_class,state,derived,distinct_or_local
browser_device_code_handoff_card,handoff-system-browser,system_browser_redirect,oauth_token,handle_only,system_browser_boundary,true
browser_device_code_handoff_card,handoff-device-code,device_code_poll,device_code_grant,never_revealed,device_code_boundary,false
browser_device_code_handoff_card,handoff-embedded-prompt,embedded_prompt,personal_access_token,masked_last_four,local_capture_boundary,false
browser_device_code_handoff_card,handoff-passkey-step-up,passkey_step_up,client_certificate,clipboard_scoped,local_capture_boundary,false
browser_device_code_handoff_card,handoff-delegated-forward,delegated_forward,ssh_or_signing_key,policy_blocked_reveal,delegated_or_deferred_boundary,false
browser_device_code_handoff_card,handoff-offline-deferred,offline_deferred,api_key,handle_only,delegated_or_deferred_boundary,false
delegated_credential_row,delegated-local,local_identity,provider,active_current,locally_stored,true
delegated_credential_row,delegated-forwarded,forwarded_identity,registry,refresh_needed,forwarded,false
delegated_credential_row,delegated-remote-vault,delegated_on_behalf,release,rotation_due,remote_vault,false
delegated_credential_row,delegated-impersonation,impersonation_scoped,request,superseded,remote_vault,false
delegated_credential_row,delegated-service-account,service_account_acting,database,expired,service_issued,false
delegated_credential_row,delegated-revoked,delegation_revoked,remote,revoked,forwarded,false
