family,consumer,representation,build_lane_trust_role_word,parity_state
contributor_pr,build_farm,desktop_full,cache_posture,facets_preserved
contributor_pr,cache_service,desktop_full,cache_posture,facets_preserved
contributor_pr,cli_export,exported_redacted,cache_posture,facets_disclosed_narrowed
protected_merge,release_center,desktop_full,publication_authority,facets_preserved
protected_merge,shiproom,desktop_full,publication_authority,facets_preserved
protected_merge,diagnostics,remote_projected,publication_authority,facets_disclosed_narrowed
release,provenance_service,desktop_full,reproducibility_proof,facets_preserved
release,diagnostics,desktop_full,reproducibility_proof,facets_preserved
release,support_export,exported_redacted,reproducibility_proof,facets_disclosed_narrowed
emergency_hotfix,docs_help,desktop_full,support_identity,facets_preserved
emergency_hotfix,release_center,compact_narrowed,support_identity,facets_disclosed_narrowed
emergency_hotfix,support_export,exported_redacted,support_identity,facets_disclosed_narrowed
