row_id,consumer_class,consumer_surface,component_family,controls_lane,authority,label_parity,handoff
consumer:run-test-debug:host-boundary-strip,run_test_debug,run_test_debug_ui,host_boundary_strip,host_origin,full,preserved,none
consumer:run-test-debug:execution-origin-receipt-row,run_test_debug,run_test_debug_ui,execution_origin_receipt_row,host_origin,read_only,disclosed_narrowed,none
consumer:run-test-debug:adapter-confidence-chip,run_test_debug,shell_ui,adapter_confidence_chip,adapter_discovery,read_only,disclosed_narrowed,none
consumer:notebook:adapter-confidence-chip,notebook,notebook_ui,adapter_confidence_chip,adapter_discovery,read_only,disclosed_narrowed,none
consumer:notebook:discovery-diff-card,notebook,notebook_ui,discovery_diff_card,adapter_discovery,inspect_only,disclosed_narrowed,none
consumer:preview:managed-workspace-lifecycle-card,preview,preview_ui,managed_workspace_lifecycle_card,managed_lifecycle,read_only,disclosed_narrowed,none
consumer:preview:workspace-expiry-banner,preview,preview_ui,workspace_expiry_banner,expiry_continuation,read_only,disclosed_narrowed,none
consumer:ai-tool-routing:execution-origin-receipt-row,ai_tool_routing,product_ui,execution_origin_receipt_row,host_origin,inspect_only,disclosed_narrowed,none
consumer:ai-tool-routing:discovery-diff-card,ai_tool_routing,product_ui,discovery_diff_card,adapter_discovery,read_only,disclosed_narrowed,none
consumer:companion-handoff:local-safe-continuation-card,companion_handoff,companion_ui,local_safe_continuation_card,expiry_continuation,override_gated,disclosed_narrowed,companion_app
consumer:companion-handoff:suspend-resume-rebuild-review-sheet,companion_handoff,companion_ui,suspend_resume_rebuild_review_sheet,managed_lifecycle,read_only,disclosed_narrowed,companion_app
consumer:support-export:host-boundary-strip,support_export,support_export,host_boundary_strip,host_origin,export_only,disclosed_narrowed,support_packet
consumer:support-export:managed-workspace-lifecycle-card,support_export,support_export,managed_workspace_lifecycle_card,managed_lifecycle,export_only,disclosed_narrowed,support_packet
consumer:support-export:suspend-resume-rebuild-review-sheet,support_export,support_export,suspend_resume_rebuild_review_sheet,managed_lifecycle,export_only,disclosed_narrowed,support_packet
consumer:incident:workspace-expiry-banner,support_export,incident_ui,workspace_expiry_banner,expiry_continuation,read_only,disclosed_narrowed,none
