dimension,risk_class,confidence,speculative,review_readiness,follow_up_task,task_timing,rollback_choice,from_version,to_version,gate
workspace_migration,no_impact,confirmed,false,clear_to_apply,no_task_required,not_required,not_applicable,,,governed
profile_migration,no_impact,confirmed,false,clear_to_apply,no_task_required,not_required,not_applicable,,,governed
schema_migration,no_impact,confirmed,false,clear_to_apply,no_task_required,not_required,not_applicable,,,governed
cache_migration,low_risk_cache_churn,confirmed,false,clear_to_apply,cache_rebuild,after_restart,not_applicable,,,governed
extension_compatibility,no_impact,confirmed,false,clear_to_apply,no_task_required,not_required,not_applicable,,,governed
remote_helper_skew,no_impact,not_applicable,false,clear_to_apply,no_task_required,not_required,not_applicable,,,governed
toolchain_floor,no_impact,confirmed,false,clear_to_apply,no_task_required,not_required,not_applicable,,,governed
toolchain_ceiling,no_impact,confirmed,false,clear_to_apply,no_task_required,not_required,not_applicable,,,governed
certified_archetype,no_impact,confirmed,false,clear_to_apply,no_task_required,not_required,not_applicable,,,governed
behavior_change,no_impact,confirmed,false,clear_to_apply,no_task_required,not_required,not_applicable,,,governed
