object,consumer,representation,change_intent_role_word,vocabulary_state
change_intent_record,work_item_detail,desktop_full,provider_ownership_disclosure,facets_preserved
change_intent_record,start_work_sheet,desktop_full,provider_ownership_disclosure,facets_preserved
change_intent_record,support_export_packet,exported_redacted,provider_ownership_disclosure,facets_disclosed_narrowed
start_work_sheet,start_work_sheet,desktop_full,side_effect_disclosure,facets_preserved
start_work_sheet,work_item_detail,compact_narrowed,side_effect_disclosure,facets_disclosed_narrowed
start_work_sheet,support_export_packet,exported_redacted,side_effect_disclosure,facets_disclosed_narrowed
linked_change_panel,linked_change_panel,desktop_full,linked_engineering_identity_disclosure,facets_preserved
linked_change_panel,review_detail,desktop_full,linked_engineering_identity_disclosure,facets_preserved
linked_change_panel,support_export_packet,exported_redacted,linked_engineering_identity_disclosure,facets_disclosed_narrowed
ready_for_review_handoff_sheet,ready_for_review_handoff,desktop_full,validation_evidence_disclosure,facets_preserved
ready_for_review_handoff_sheet,review_detail,remote_projected,validation_evidence_disclosure,facets_disclosed_narrowed
ready_for_review_handoff_sheet,linked_change_panel,desktop_full,validation_evidence_disclosure,facets_preserved
resolve_close_sheet,resolve_close_sheet,desktop_full,final_resolution_authority_disclosure,facets_preserved
resolve_close_sheet,blocked_escalate_card,desktop_full,final_resolution_authority_disclosure,facets_preserved
resolve_close_sheet,help_docs,compact_narrowed,final_resolution_authority_disclosure,facets_disclosed_narrowed
blocked_escalate_card,blocked_escalate_card,desktop_full,publish_later_fallback_disclosure,facets_preserved
blocked_escalate_card,help_docs,desktop_full,publish_later_fallback_disclosure,facets_preserved
blocked_escalate_card,support_export_packet,exported_redacted,publish_later_fallback_disclosure,facets_disclosed_narrowed
