object,consumer,representation,change_orchestration_role_word,vocabulary_state
change_object,change_object_detail,desktop_full,selected_change_object_disclosure,facets_preserved
change_object,patch_stack_queue,desktop_full,selected_change_object_disclosure,facets_preserved
change_object,support_export_packet,exported_redacted,selected_change_object_disclosure,facets_disclosed_narrowed
patch_stack_queue,patch_stack_queue,desktop_full,stack_membership_disclosure,facets_preserved
patch_stack_queue,change_object_detail,compact_narrowed,stack_membership_disclosure,facets_disclosed_narrowed
patch_stack_queue,support_export_packet,exported_redacted,stack_membership_disclosure,facets_disclosed_narrowed
stack_edit_review_sheet,stack_edit_review_sheet,desktop_full,worktree_binding_disclosure,facets_preserved
stack_edit_review_sheet,review_detail,desktop_full,worktree_binding_disclosure,facets_preserved
stack_edit_review_sheet,support_export_packet,exported_redacted,worktree_binding_disclosure,facets_disclosed_narrowed
landing_candidate_sheet,provider_merge_queue,desktop_full,validation_freshness_disclosure,facets_preserved
landing_candidate_sheet,review_detail,remote_projected,validation_freshness_disclosure,facets_disclosed_narrowed
landing_candidate_sheet,stack_edit_review_sheet,desktop_full,validation_freshness_disclosure,facets_preserved
portable_shelf,portable_shelf,desktop_full,rollback_export_fallback_disclosure,facets_preserved
portable_shelf,worktree_cleanup_preview,desktop_full,rollback_export_fallback_disclosure,facets_preserved
portable_shelf,help_docs,compact_narrowed,rollback_export_fallback_disclosure,facets_disclosed_narrowed
worktree_cleanup_preview,worktree_cleanup_preview,desktop_full,cleanup_safety_disclosure,facets_preserved
worktree_cleanup_preview,help_docs,desktop_full,cleanup_safety_disclosure,facets_preserved
worktree_cleanup_preview,support_export_packet,exported_redacted,cleanup_safety_disclosure,facets_disclosed_narrowed
