control,id,object_kind,client_scope,freshness,state_or_source,derived,live_or_joinable
ci_status_card,ci-passed,ci_run,repo_scoped,live,passed,green,true
ci_status_card,ci-failed,ci_run,repo_scoped,live,failed,red,true
ci_status_card,ci-running,ci_run,workspace_scoped,live,running,in_flight,true
ci_status_card,ci-queued,ci_run,org_scoped,cached,queued,in_flight,true
ci_status_card,ci-canceled,ci_run,repo_scoped,stale,canceled,canceled,true
ci_status_card,ci-stale,ci_run,account_global,unknown_freshness,stale,stale_unknown,false
session_follow_tile,follow-live,followed_session,workspace_scoped,live,live_following,live_joinable,true
session_follow_tile,follow-paused,followed_session,workspace_scoped,cached,paused_follow,paused_resumable,true
session_follow_tile,follow-diverged,followed_session,device_scoped,stale,diverged_from_host,stale_read_only,false
session_follow_tile,follow-host-inactive,followed_session,workspace_scoped,offline_held,host_inactive,not_joinable,false
session_follow_tile,follow-mirror,followed_session,org_scoped,expired_snapshot,read_only_mirror,stale_read_only,false
session_follow_tile,follow-ended,followed_session,account_global,unknown_freshness,follow_ended,not_joinable,false
