object,consumer,representation,collaboration_control_role_word,vocabulary_state
shared_terminal_debug_view,shared_terminal_debug_view,desktop_full,control_authority_disclosure,facets_preserved
shared_terminal_debug_view,control_grant_prompt,desktop_full,control_authority_disclosure,facets_preserved
shared_terminal_debug_view,support_export_packet,exported_redacted,control_authority_disclosure,facets_disclosed_narrowed
control_grant,control_grant_prompt,desktop_full,active_driver_disclosure,facets_preserved
control_grant,shared_terminal_debug_view,compact_narrowed,active_driver_disclosure,facets_disclosed_narrowed
control_grant,support_export_packet,exported_redacted,active_driver_disclosure,facets_disclosed_narrowed
presenter_token,presenter_handoff_sheet,desktop_full,view_first_default_disclosure,facets_preserved
presenter_token,control_grant_prompt,desktop_full,view_first_default_disclosure,facets_preserved
presenter_token,support_export_packet,exported_redacted,view_first_default_disclosure,facets_disclosed_narrowed
consent_envelope,collaboration_join_review_sheet,desktop_full,consent_scope_disclosure,facets_preserved
consent_envelope,collaboration_retention_sheet,remote_projected,consent_scope_disclosure,facets_disclosed_narrowed
consent_envelope,help_docs,desktop_full,consent_scope_disclosure,facets_preserved
retention_review,collaboration_retention_sheet,desktop_full,recording_retention_state_disclosure,facets_preserved
retention_review,support_export_packet,exported_redacted,recording_retention_state_disclosure,facets_disclosed_narrowed
retention_review,help_docs,compact_narrowed,recording_retention_state_disclosure,facets_disclosed_narrowed
session_restore_view,session_restore_view,desktop_full,replay_free_restore_disclosure,facets_preserved
session_restore_view,paste_secret_guard,desktop_full,replay_free_restore_disclosure,facets_preserved
session_restore_view,support_export_packet,exported_redacted,replay_free_restore_disclosure,facets_disclosed_narrowed
