surface_family,status,documentation_record,cross_surface_naming,example_freshness,doc_export_parity,headless_parity,lifecycle,doc_fields,parity_cards,evaluated_surfaces,waiver
menu_item,green,command_record_examples_and_lifecycle_certified,canonical_naming_and_replacement_stable,canonical_examples_fresh_and_not_alias_only,command_id_and_replacement_reconstructable,true,stable,8,7,3,none
menu_group,green,command_record_examples_and_lifecycle_certified,canonical_naming_and_replacement_stable,canonical_examples_fresh_and_not_alias_only,command_id_and_replacement_reconstructable,true,stable,8,7,2,none
context_menu,yellow,command_record_examples_and_lifecycle_certified,disclosed_surface_paraphrase,canonical_examples_fresh_and_not_alias_only,command_id_and_replacement_reconstructable,true,stable,8,7,2,waiver:command-doc-surface-paraphrase:0001
command_bar,yellow,disclosed_reduced_doc_detail,canonical_naming_and_replacement_stable,canonical_examples_fresh_and_not_alias_only,command_id_and_replacement_reconstructable,true,stable,8,7,3,none
keybinding_resolver_layer,green,command_record_examples_and_lifecycle_certified,canonical_naming_and_replacement_stable,canonical_examples_fresh_and_not_alias_only,command_id_and_replacement_reconstructable,true,stable,8,7,3,none
conflict_review_sheet,green,command_record_examples_and_lifecycle_certified,canonical_naming_and_replacement_stable,canonical_examples_fresh_and_not_alias_only,command_id_and_replacement_reconstructable,true,stable,8,7,2,none
import_bridge_row,yellow,command_record_examples_and_lifecycle_certified,canonical_naming_and_replacement_stable,disclosed_partial_example_refresh,command_id_and_replacement_reconstructable,true,stable,8,7,3,none
disabled_command_explainer,green,command_record_examples_and_lifecycle_certified,canonical_naming_and_replacement_stable,canonical_examples_fresh_and_not_alias_only,command_id_and_replacement_reconstructable,true,stable,8,7,4,none
leader_sequence_help,green,command_record_examples_and_lifecycle_certified,canonical_naming_and_replacement_stable,canonical_examples_fresh_and_not_alias_only,command_id_and_replacement_reconstructable,true,beta,8,7,3,none
command_documentation_surface,yellow,command_record_examples_and_lifecycle_certified,canonical_naming_and_replacement_stable,canonical_examples_fresh_and_not_alias_only,disclosed_partial_capture,true,stable,8,7,4,none
