surface_family,status,leader_overlay,blocked_explainer,remediation_parity,explainer_export,headless_parity,lifecycle,leader_fields,blocker_classes,remediation_actions,reach_modes,evaluated_surfaces,waiver
menu_item,green,typed_prefix_next_keys_and_timeout_narrated,blocker_class_next_action_and_actions_certified,shared_reason_packet_across_all_surfaces,blocker_and_command_id_reconstructable,true,stable,6,7,3,5,3,none
menu_group,green,typed_prefix_next_keys_and_timeout_narrated,blocker_class_next_action_and_actions_certified,shared_reason_packet_across_all_surfaces,blocker_and_command_id_reconstructable,true,stable,6,7,3,5,2,none
context_menu,yellow,typed_prefix_next_keys_and_timeout_narrated,blocker_class_next_action_and_actions_certified,disclosed_surface_local_remediation_note,blocker_and_command_id_reconstructable,true,stable,6,7,3,5,2,none
command_bar,yellow,typed_prefix_next_keys_and_timeout_narrated,disclosed_reduced_explainer_detail,shared_reason_packet_across_all_surfaces,blocker_and_command_id_reconstructable,true,stable,6,7,3,5,3,none
keybinding_resolver_layer,green,typed_prefix_next_keys_and_timeout_narrated,blocker_class_next_action_and_actions_certified,shared_reason_packet_across_all_surfaces,blocker_and_command_id_reconstructable,true,stable,6,7,3,5,3,none
conflict_review_sheet,green,typed_prefix_next_keys_and_timeout_narrated,blocker_class_next_action_and_actions_certified,shared_reason_packet_across_all_surfaces,blocker_and_command_id_reconstructable,true,stable,6,7,3,5,2,none
import_bridge_row,yellow,typed_prefix_next_keys_and_timeout_narrated,blocker_class_next_action_and_actions_certified,shared_reason_packet_across_all_surfaces,disclosed_partial_capture,true,stable,6,7,3,5,3,none
disabled_command_explainer,green,typed_prefix_next_keys_and_timeout_narrated,blocker_class_next_action_and_actions_certified,shared_reason_packet_across_all_surfaces,blocker_and_command_id_reconstructable,true,stable,6,7,3,5,4,none
leader_sequence_help,yellow,disclosed_reduced_sequence_overlay,blocker_class_next_action_and_actions_certified,shared_reason_packet_across_all_surfaces,blocker_and_command_id_reconstructable,true,beta,6,7,3,5,3,waiver:command-explainer-reduced-sequence:0001
command_documentation_surface,green,typed_prefix_next_keys_and_timeout_narrated,blocker_class_next_action_and_actions_certified,shared_reason_packet_across_all_surfaces,blocker_and_command_id_reconstructable,true,stable,6,7,3,5,4,none
