surface_family,status,canonical_projection,target_guard,route_parity,support_export_parity,headless_parity,parity_surfaces,open_modes,evaluated_surfaces,waiver
menu_item,green,canonical_label_shortcut_reason_certified,stale_target_and_destructive_grouping_certified,every_action_has_palette_help_keyboard_route,command_id_label_reason_reconstructable,true,6,5,3,none
menu_group,green,canonical_label_shortcut_reason_certified,stale_target_and_destructive_grouping_certified,every_action_has_palette_help_keyboard_route,command_id_label_reason_reconstructable,true,6,5,2,none
context_menu,yellow,canonical_label_shortcut_reason_certified,disclosed_deferred_target_revalidation,every_action_has_palette_help_keyboard_route,command_id_label_reason_reconstructable,true,6,5,2,none
command_bar,yellow,disclosed_reduced_shortcut_hint,stale_target_and_destructive_grouping_certified,every_action_has_palette_help_keyboard_route,command_id_label_reason_reconstructable,true,6,5,3,none
keybinding_resolver_layer,green,canonical_label_shortcut_reason_certified,stale_target_and_destructive_grouping_certified,every_action_has_palette_help_keyboard_route,command_id_label_reason_reconstructable,true,6,5,3,none
conflict_review_sheet,green,canonical_label_shortcut_reason_certified,stale_target_and_destructive_grouping_certified,every_action_has_palette_help_keyboard_route,command_id_label_reason_reconstructable,true,6,5,2,none
import_bridge_row,yellow,canonical_label_shortcut_reason_certified,stale_target_and_destructive_grouping_certified,every_action_has_palette_help_keyboard_route,disclosed_partial_capture,true,6,5,3,none
disabled_command_explainer,green,canonical_label_shortcut_reason_certified,stale_target_and_destructive_grouping_certified,every_action_has_palette_help_keyboard_route,command_id_label_reason_reconstructable,true,6,5,4,none
leader_sequence_help,yellow,canonical_label_shortcut_reason_certified,stale_target_and_destructive_grouping_certified,disclosed_architectural_route_exception,command_id_label_reason_reconstructable,true,6,5,3,waiver:leader-sequence-route-exception:0001
command_documentation_surface,green,canonical_label_shortcut_reason_certified,stale_target_and_destructive_grouping_certified,every_action_has_palette_help_keyboard_route,command_id_label_reason_reconstructable,true,6,5,4,none
