consumer,qualification,owner,adopted_families,parity_health_modes,claim_parity_states,narrowing_reasons,export_fields,binding_count
inbox,stable,Notification-inbox surface owner,notification_row|mobile_review_card,full_parity|cached_narrowed|stale_narrowed|desktop_required_narrowed|policy_blocked_narrowed,claims_preserved|claims_auto_narrowed,showing_cached_value|stale_beyond_window|desktop_required_action|policy_blocked_on_companion,consumer|component_family|canonical_schema_ref|descriptor_set|parity_health|export_caveats|claim_parity_state|narrowing_reason,2
review,stable,Review-queue surface owner,mobile_review_card|desktop_handoff_sheet,full_parity|cached_narrowed|stale_narrowed|desktop_required_narrowed|policy_blocked_narrowed,claims_preserved|claims_auto_narrowed,showing_cached_value|stale_beyond_window|desktop_required_action|policy_blocked_on_companion,consumer|component_family|canonical_schema_ref|descriptor_set|parity_health|export_caveats|claim_parity_state|narrowing_reason,2
ci,stable,CI-status surface owner,ci_status_card|notification_row,full_parity|cached_narrowed|stale_narrowed|desktop_required_narrowed|policy_blocked_narrowed,claims_preserved|claims_auto_narrowed,showing_cached_value|stale_beyond_window|desktop_required_action|policy_blocked_on_companion,consumer|component_family|canonical_schema_ref|descriptor_set|parity_health|export_caveats|claim_parity_state|narrowing_reason,2
session_follow,stable,Session-follow surface owner,session_follow_tile|ci_status_card,full_parity|cached_narrowed|stale_narrowed|desktop_required_narrowed|policy_blocked_narrowed,claims_preserved|claims_auto_narrowed,showing_cached_value|stale_beyond_window|desktop_required_action|policy_blocked_on_companion,consumer|component_family|canonical_schema_ref|descriptor_set|parity_health|export_caveats|claim_parity_state|narrowing_reason,2
incident,stable,Incident-awareness surface owner,incident_snapshot_card|desktop_handoff_sheet,full_parity|cached_narrowed|stale_narrowed|desktop_required_narrowed|policy_blocked_narrowed,claims_preserved|claims_auto_narrowed,showing_cached_value|stale_beyond_window|desktop_required_action|policy_blocked_on_companion,consumer|component_family|canonical_schema_ref|descriptor_set|parity_health|export_caveats|claim_parity_state|narrowing_reason,2
advisory,stable,Advisory-center surface owner,notification_row|incident_snapshot_card,full_parity|cached_narrowed|stale_narrowed|desktop_required_narrowed|policy_blocked_narrowed,claims_preserved|claims_auto_narrowed,showing_cached_value|stale_beyond_window|desktop_required_action|policy_blocked_on_companion,consumer|component_family|canonical_schema_ref|descriptor_set|parity_health|export_caveats|claim_parity_state|narrowing_reason,2
help,stable,Help / docs surface owner,notification_row|mobile_review_card|ci_status_card,full_parity|cached_narrowed|stale_narrowed|desktop_required_narrowed|policy_blocked_narrowed,claims_preserved|claims_auto_narrowed,showing_cached_value|stale_beyond_window|desktop_required_action|policy_blocked_on_companion,consumer|component_family|canonical_schema_ref|descriptor_set|parity_health|export_caveats|claim_parity_state|narrowing_reason,3
support,stable,Support / export desk surface owner,notification_row|mobile_review_card|ci_status_card|session_follow_tile|incident_snapshot_card|desktop_handoff_sheet,full_parity|cached_narrowed|stale_narrowed|desktop_required_narrowed|policy_blocked_narrowed,claims_preserved|claims_auto_narrowed,showing_cached_value|stale_beyond_window|desktop_required_action|policy_blocked_on_companion,consumer|component_family|canonical_schema_ref|descriptor_set|parity_health|export_caveats|claim_parity_state|narrowing_reason,6
handoff,stable,Desktop-handoff surface owner,desktop_handoff_sheet|session_follow_tile,full_parity|cached_narrowed|stale_narrowed|desktop_required_narrowed|policy_blocked_narrowed,claims_preserved|claims_auto_narrowed,showing_cached_value|stale_beyond_window|desktop_required_action|policy_blocked_on_companion,consumer|component_family|canonical_schema_ref|descriptor_set|parity_health|export_caveats|claim_parity_state|narrowing_reason,2
export,stable,Export packet surface owner,desktop_handoff_sheet|incident_snapshot_card|ci_status_card,full_parity|cached_narrowed|stale_narrowed|desktop_required_narrowed|policy_blocked_narrowed,claims_preserved|claims_auto_narrowed,showing_cached_value|stale_beyond_window|desktop_required_action|policy_blocked_on_companion,consumer|component_family|canonical_schema_ref|descriptor_set|parity_health|export_caveats|claim_parity_state|narrowing_reason,3
