component,id,primary_class,secondary,certainty_posture,exact_from_source,proving_source_kind
convention_diagnostic_row,diag-missing-loader,hard_contract_violation,verified,exact_from_source,true,source_file
convention_diagnostic_row,diag-version-mismatch,version_mismatch,high_confidence,heuristic,false,source_symbol
convention_diagnostic_row,diag-naming-suspicion,heuristic_suspicion,heuristic_convention,heuristic,false,docs_anchor
convention_diagnostic_row,diag-pack-limitation,pack_limitation,derived_by_convention,heuristic,false,source_file
convention_diagnostic_row,diag-deprecation,deprecation_notice,low_confidence,partial_or_unresolved,false,runtime_trace
convention_diagnostic_row,diag-unknown,unknown_diagnostic,unknown,partial_or_unresolved,false,no_proving_source
derived_relationship_banner,rel-route-to-loader,exact_from_source,proving_source_linked,exact_from_source,true,source_file
derived_relationship_banner,rel-service-call,inferred_from_runtime,runtime_evidence_only,runtime_confirmed,false,runtime_trace
derived_relationship_banner,rel-heuristic-import,heuristic_link,source_linked_partial,heuristic,false,source_symbol
derived_relationship_banner,rel-di-convention,derived_by_convention,convention_only,heuristic,false,docs_anchor
derived_relationship_banner,rel-partial-manifest,partial_link,no_proving_source,partial_or_unresolved,false,no_proving_source
derived_relationship_banner,rel-unresolved,unresolved_link,unknown_proving,partial_or_unresolved,false,no_proving_source
