component,consumer,representation,state_word,parity_state
button,settings_ui,desktop_full,default,facets_preserved
button,support_export,exported_redacted,default,facets_disclosed_narrowed
icon_button,forms_ui,desktop_full,default,facets_preserved
icon_button,review_ui,compact_narrowed,default,facets_disclosed_narrowed
split_button,product_ui,desktop_full,default,facets_preserved
split_button,repair_ui,compact_narrowed,default,facets_disclosed_narrowed
split_button,cli_export,exported_redacted,default,facets_disclosed_narrowed
text_field,settings_ui,desktop_full,default,facets_preserved
text_field,forms_ui,compact_narrowed,default,facets_disclosed_narrowed
search_field,search_ui,desktop_full,default,facets_preserved
search_field,support_export,exported_redacted,default,facets_disclosed_narrowed
combobox,entry_ui,desktop_full,default,facets_preserved
combobox,forms_ui,remote_projected,default,facets_disclosed_narrowed
combobox,cli_export,exported_redacted,default,facets_disclosed_narrowed
toggle_control,settings_ui,desktop_full,locked,facets_preserved
toggle_control,product_ui,compact_narrowed,locked,facets_disclosed_narrowed
toggle_control,support_export,exported_redacted,locked,facets_disclosed_narrowed
segmented_control,entry_ui,desktop_full,default,facets_preserved
segmented_control,review_ui,remote_projected,default,facets_disclosed_narrowed
