consumer,qualification,owner,adopted_families,parity_health_modes,claim_parity_states,narrowing_reasons,export_fields,binding_count
settings,stable,Credential-settings surface owner,credential_state_row|vault_or_keychain_picker|rotation_revoke_event_row,full_parity|handle_only_narrowed|expired_or_revoked_narrowed|delegated_or_forwarded_narrowed|session_only_or_policy_blocked_narrowed,claims_preserved|claims_auto_narrowed,handle_only_path|credential_expired_or_revoked|identity_forwarded_or_delegated|session_only_or_policy_blocked,consumer|component_family|canonical_schema_ref|descriptor_set|parity_health|export_caveats|claim_parity_state|narrowing_reason,3
request,stable,Request-auth surface owner,secret_access_prompt_sheet|credential_state_row,full_parity|handle_only_narrowed|expired_or_revoked_narrowed|delegated_or_forwarded_narrowed|session_only_or_policy_blocked_narrowed,claims_preserved|claims_auto_narrowed,handle_only_path|credential_expired_or_revoked|identity_forwarded_or_delegated|session_only_or_policy_blocked,consumer|component_family|canonical_schema_ref|descriptor_set|parity_health|export_caveats|claim_parity_state|narrowing_reason,2
database,stable,Database-attach surface owner,credential_state_row|delegated_credential_row,full_parity|handle_only_narrowed|expired_or_revoked_narrowed|delegated_or_forwarded_narrowed|session_only_or_policy_blocked_narrowed,claims_preserved|claims_auto_narrowed,handle_only_path|credential_expired_or_revoked|identity_forwarded_or_delegated|session_only_or_policy_blocked,consumer|component_family|canonical_schema_ref|descriptor_set|parity_health|export_caveats|claim_parity_state|narrowing_reason,2
registry,stable,Registry-authorization surface owner,secret_access_prompt_sheet|browser_device_code_handoff_card|credential_store_capability_row,full_parity|handle_only_narrowed|expired_or_revoked_narrowed|delegated_or_forwarded_narrowed|session_only_or_policy_blocked_narrowed,claims_preserved|claims_auto_narrowed,handle_only_path|credential_expired_or_revoked|identity_forwarded_or_delegated|session_only_or_policy_blocked,consumer|component_family|canonical_schema_ref|descriptor_set|parity_health|export_caveats|claim_parity_state|narrowing_reason,3
release,stable,Release-publish surface owner,rotation_revoke_event_row|export_safety_banner,full_parity|handle_only_narrowed|expired_or_revoked_narrowed|delegated_or_forwarded_narrowed|session_only_or_policy_blocked_narrowed,claims_preserved|claims_auto_narrowed,handle_only_path|credential_expired_or_revoked|identity_forwarded_or_delegated|session_only_or_policy_blocked,consumer|component_family|canonical_schema_ref|descriptor_set|parity_health|export_caveats|claim_parity_state|narrowing_reason,2
remote,stable,Remote-target attach surface owner,delegated_credential_row|browser_device_code_handoff_card,full_parity|handle_only_narrowed|expired_or_revoked_narrowed|delegated_or_forwarded_narrowed|session_only_or_policy_blocked_narrowed,claims_preserved|claims_auto_narrowed,handle_only_path|credential_expired_or_revoked|identity_forwarded_or_delegated|session_only_or_policy_blocked,consumer|component_family|canonical_schema_ref|descriptor_set|parity_health|export_caveats|claim_parity_state|narrowing_reason,2
ai_assistant,stable,AI model-provider surface owner,secret_access_prompt_sheet|credential_state_row,full_parity|handle_only_narrowed|expired_or_revoked_narrowed|delegated_or_forwarded_narrowed|session_only_or_policy_blocked_narrowed,claims_preserved|claims_auto_narrowed,handle_only_path|credential_expired_or_revoked|identity_forwarded_or_delegated|session_only_or_policy_blocked,consumer|component_family|canonical_schema_ref|descriptor_set|parity_health|export_caveats|claim_parity_state|narrowing_reason,2
help,stable,Help / docs surface owner,credential_state_row|secret_access_prompt_sheet|export_safety_banner,full_parity|handle_only_narrowed|expired_or_revoked_narrowed|delegated_or_forwarded_narrowed|session_only_or_policy_blocked_narrowed,claims_preserved|claims_auto_narrowed,handle_only_path|credential_expired_or_revoked|identity_forwarded_or_delegated|session_only_or_policy_blocked,consumer|component_family|canonical_schema_ref|descriptor_set|parity_health|export_caveats|claim_parity_state|narrowing_reason,3
support,stable,Support / export desk surface owner,credential_state_row|secret_access_prompt_sheet|vault_or_keychain_picker|credential_store_capability_row|browser_device_code_handoff_card|delegated_credential_row|rotation_revoke_event_row|export_safety_banner,full_parity|handle_only_narrowed|expired_or_revoked_narrowed|delegated_or_forwarded_narrowed|session_only_or_policy_blocked_narrowed,claims_preserved|claims_auto_narrowed,handle_only_path|credential_expired_or_revoked|identity_forwarded_or_delegated|session_only_or_policy_blocked,consumer|component_family|canonical_schema_ref|descriptor_set|parity_health|export_caveats|claim_parity_state|narrowing_reason,8
export,stable,Export packet surface owner,export_safety_banner|credential_store_capability_row|vault_or_keychain_picker,full_parity|handle_only_narrowed|expired_or_revoked_narrowed|delegated_or_forwarded_narrowed|session_only_or_policy_blocked_narrowed,claims_preserved|claims_auto_narrowed,handle_only_path|credential_expired_or_revoked|identity_forwarded_or_delegated|session_only_or_policy_blocked,consumer|component_family|canonical_schema_ref|descriptor_set|parity_health|export_caveats|claim_parity_state|narrowing_reason,3
