control,id,scope_or_boundary,storage_mode,state_or_policy,derived,healthy_or_portable
credential_state_row,cred-provider-active,provider,os_keychain,active_current,healthy,true
credential_state_row,cred-registry-refresh,registry,encrypted_vault,refresh_needed,attention_needed,false
credential_state_row,cred-request-rotation-due,request,secret_broker_handle,rotation_due,attention_needed,false
credential_state_row,cred-database-revoked,database,encrypted_vault,revoked,revoked,false
credential_state_row,cred-remote-expired,remote,os_keychain,expired,expired,false
credential_state_row,cred-release-superseded,release,os_keychain,superseded,superseded,false
vault_or_keychain_picker,vault-device-keychain,device_local,os_keychain,reveal_on_demand,portable,true
vault_or_keychain_picker,vault-user-encrypted,user_profile,encrypted_vault,handle_only,handle_reference_only,false
vault_or_keychain_picker,vault-team-external,team_shared,external_reference,masked_last_four,export_blocked,false
vault_or_keychain_picker,vault-org-broker,org_managed,secret_broker_handle,handle_only,handle_reference_only,false
vault_or_keychain_picker,vault-session-memory,session_only,session_memory_only,clipboard_scoped,session_only_non_portable,false
