component,id,state_or_scope,source_or_sensitivity,derived,safe_flag,deep_link_kind
dataset_provenance_card,ds-tracked-001,provenance_complete,tracked_dataset,remote_data,false,dataset_catalog_anchor
dataset_provenance_card,ds-localfile-002,version_pinned,local_file,local_data,true,notebook_location
dataset_provenance_card,ds-remote-003,provenance_partial,remote_snapshot,remote_data,false,dataset_catalog_anchor
dataset_provenance_card,ds-synthetic-004,provenance_missing,synthetic_data,local_data,true,docs_anchor
dataset_provenance_card,ds-redacted-005,access_restricted,redacted_sample,local_data,true,docs_anchor
dataset_provenance_card,ds-unknown-006,version_drifted,unknown_source,location_unknown,false,no_deep_link
sensitivity_sharing_banner,sb-public-001,summary_plus_metadata,public_safe,metadata_safe,true,docs_anchor
sensitivity_sharing_banner,sb-internal-raw-002,raw_payload_included,internal,raw_exposed,false,docs_anchor
sensitivity_sharing_banner,sb-confidential-003,evidence_included,confidential,evidence_scoped,false,dataset_catalog_anchor
sensitivity_sharing_banner,sb-regulated-004,redacted_share,regulated,redacted,false,docs_anchor
sensitivity_sharing_banner,sb-prodlike-005,share_blocked,production_like,blocked,false,docs_anchor
sensitivity_sharing_banner,sb-unknown-006,summary_only,unknown_sensitivity,metadata_safe,true,no_deep_link
