surface_family,owner,session_modes,control_postures,example_count
task_run_pane,Task-run debug guild,launch|attach,live_attached_control,1
test_run_pane,Test-run debug guild,attach,live_attached_control,1
request_run_pane,Request-execution debug guild,inspect_only,inspect_only_view,1
notebook_execution,Notebook-execution debug guild,replay,captured_analysis,1
ai_mediated_execution,AI-execution debug guild,attach,live_attached_control,1
publish_flow,Publish debug guild,core,captured_analysis,1
preview_flow,Preview debug guild,core,captured_analysis,1
history_activity_center,History / activity-center debug guild,core,captured_analysis,1
support_export_replay,Support / diagnostics debug guild,replay,captured_analysis,1
companion_summary,Companion-surface debug guild,inspect_only,inspect_only_view,1
