component,consumer,representation,disposition_word,parity_state
badge_chip_pill,settings_ui,desktop_full,info,facets_preserved
badge_chip_pill,support_export,exported_redacted,info,facets_disclosed_narrowed
popover,help_ui,desktop_full,info,facets_preserved
popover,review_ui,compact_narrowed,info,facets_disclosed_narrowed
dialog_sheet,review_ui,desktop_full,warning,facets_preserved
dialog_sheet,product_ui,compact_narrowed,warning,facets_disclosed_narrowed
dialog_sheet,cli_export,exported_redacted,warning,facets_disclosed_narrowed
banner_inline_notice,updates_ui,desktop_full,warning,facets_preserved
banner_inline_notice,shell_ui,remote_projected,warning,facets_disclosed_narrowed
toast,settings_ui,desktop_full,success,facets_preserved
toast,support_export,exported_redacted,success,facets_disclosed_narrowed
empty_state,review_ui,desktop_full,info,facets_preserved
empty_state,shell_ui,compact_narrowed,info,facets_disclosed_narrowed
loading_state,shell_ui,desktop_full,pending,facets_preserved
loading_state,support_ui,remote_projected,pending,facets_disclosed_narrowed
loading_state,cli_export,exported_redacted,pending,facets_disclosed_narrowed
consequence_block,settings_ui,desktop_full,blocked,facets_preserved
consequence_block,support_ui,compact_narrowed,blocked,facets_disclosed_narrowed
consequence_block,support_export,exported_redacted,blocked,facets_disclosed_narrowed
