surface_family,status,non_pointer_reach,support_export_evidence,profile_stability,release_evidence,headless_parity,lifecycle,preview_class,reach_channels,incident_fields,access_profiles,evaluated_surfaces,waiver
menu_item,green,keyboard_screen_reader_and_touch_parity_certified,structured_incident_evidence_reconstructable,reachable_and_stable_across_all_profiles,parity_checks_gate_release_evidence,true,stable,no_preview_required,5,5,4,3,none
menu_group,green,keyboard_screen_reader_and_touch_parity_certified,structured_incident_evidence_reconstructable,reachable_and_stable_across_all_profiles,parity_checks_gate_release_evidence,true,stable,no_preview_required,5,5,4,2,none
context_menu,green,keyboard_screen_reader_and_touch_parity_certified,structured_incident_evidence_reconstructable,reachable_and_stable_across_all_profiles,parity_checks_gate_release_evidence,true,stable,structured_diff_preview,5,5,4,2,none
command_bar,yellow,disclosed_reduced_touch_fallback,structured_incident_evidence_reconstructable,reachable_and_stable_across_all_profiles,parity_checks_gate_release_evidence,true,stable,structured_diff_preview,5,5,4,3,waiver:access-parity-reduced-touch:0001
keybinding_resolver_layer,green,keyboard_screen_reader_and_touch_parity_certified,structured_incident_evidence_reconstructable,reachable_and_stable_across_all_profiles,parity_checks_gate_release_evidence,true,stable,no_preview_required,5,5,4,3,none
conflict_review_sheet,green,keyboard_screen_reader_and_touch_parity_certified,structured_incident_evidence_reconstructable,reachable_and_stable_across_all_profiles,parity_checks_gate_release_evidence,true,stable,no_preview_required,5,5,4,2,none
import_bridge_row,yellow,keyboard_screen_reader_and_touch_parity_certified,disclosed_partial_capture,reachable_and_stable_across_all_profiles,parity_checks_gate_release_evidence,true,stable,policy_authoring_or_waiver_preview,5,5,4,3,none
disabled_command_explainer,green,keyboard_screen_reader_and_touch_parity_certified,structured_incident_evidence_reconstructable,reachable_and_stable_across_all_profiles,parity_checks_gate_release_evidence,true,stable,structured_diff_preview,5,5,4,4,none
leader_sequence_help,yellow,keyboard_screen_reader_and_touch_parity_certified,structured_incident_evidence_reconstructable,disclosed_reduced_profile_coverage,parity_checks_gate_release_evidence,true,beta,no_preview_required,5,5,4,3,none
command_documentation_surface,yellow,keyboard_screen_reader_and_touch_parity_certified,structured_incident_evidence_reconstructable,reachable_and_stable_across_all_profiles,disclosed_partial_evidence_refresh,true,stable,no_preview_required,5,5,4,4,none
