surface_family,qualification,owner,command_id_field,lifecycle_label,preview_class,disabled_reason_mode,required_labels,consumer_surfaces
menu_item,stable,Shell/menu owner,command_id,stable,no_preview_required,typed_reason_required_when_unavailable,command_id|source_layer|disabled_reason|lifecycle_or_deprecation|primary_label,command_palette|keybinding_help|help_search
menu_group,stable,Shell/menu owner,command_id,stable,no_preview_required,always_invokable,command_id|source_layer|disabled_reason|lifecycle_or_deprecation|primary_label,command_palette|help_search
context_menu,stable,Shell/context-menu owner,command_id,stable,structured_diff_preview,typed_reason_required_when_unavailable,command_id|source_layer|disabled_reason|lifecycle_or_deprecation|primary_label|preview_or_approval,command_palette|keybinding_help
command_bar,stable,Shell/command-bar owner,command_id,stable,structured_diff_preview,typed_reason_required_when_unavailable,command_id|source_layer|disabled_reason|lifecycle_or_deprecation|primary_label|preview_or_approval,command_palette|keybinding_help|ai_automation
keybinding_resolver_layer,stable,Shell/keybinding owner,command_id,stable,no_preview_required,typed_reason_required_when_unavailable,command_id|source_layer|disabled_reason|lifecycle_or_deprecation|primary_label,keybinding_help|help_search|cli_headless
conflict_review_sheet,stable,Shell/keybinding owner,command_id,stable,no_preview_required,typed_reason_required_when_unavailable,command_id|source_layer|disabled_reason|lifecycle_or_deprecation|primary_label,keybinding_help|help_search
import_bridge_row,stable,Shell/import owner,command_id,stable,policy_authoring_or_waiver_preview,typed_reason_required_when_unavailable,command_id|source_layer|disabled_reason|lifecycle_or_deprecation|primary_label|preview_or_approval,keybinding_help|help_search|cli_headless
disabled_command_explainer,stable,Shell/command owner,command_id,stable,structured_diff_preview,typed_reason_required_when_unavailable,command_id|source_layer|disabled_reason|lifecycle_or_deprecation|primary_label|preview_or_approval,command_palette|keybinding_help|help_search|ai_automation
leader_sequence_help,beta,Shell/keybinding owner,command_id,beta,no_preview_required,typed_reason_required_when_unavailable,command_id|source_layer|disabled_reason|lifecycle_or_deprecation|primary_label,keybinding_help|help_search|onboarding_tour
command_documentation_surface,stable,Docs/command-help owner,command_id,stable,no_preview_required,typed_reason_required_when_unavailable,command_id|source_layer|disabled_reason|lifecycle_or_deprecation|primary_label|preview_or_approval,help_search|onboarding_tour|cli_headless|ai_automation
