surface_family,status,menu_affordance_truth,keybinding_resolver_truth,leader_help_truth,command_documentation_truth,headless_parity,lifecycle,preview_class,proof_dimensions,profiles,evaluated_surfaces,waiver
menu_item,green,menu_affordance_parity_certified,shortcut_resolution_inspectable,leader_and_blocked_explainer_certified,command_doc_record_certified,true,stable,no_preview_required,4,6,3,none
menu_group,green,menu_affordance_parity_certified,shortcut_resolution_inspectable,leader_and_blocked_explainer_certified,command_doc_record_certified,true,stable,no_preview_required,4,6,2,none
context_menu,green,menu_affordance_parity_certified,shortcut_resolution_inspectable,leader_and_blocked_explainer_certified,command_doc_record_certified,true,stable,structured_diff_preview,4,6,2,none
command_bar,yellow,disclosed_reduced_affordance_hint,shortcut_resolution_inspectable,leader_and_blocked_explainer_certified,command_doc_record_certified,true,stable,structured_diff_preview,4,6,3,none
keybinding_resolver_layer,yellow,menu_affordance_parity_certified,disclosed_reduced_resolver_detail,leader_and_blocked_explainer_certified,command_doc_record_certified,true,stable,no_preview_required,4,6,3,none
conflict_review_sheet,green,menu_affordance_parity_certified,shortcut_resolution_inspectable,leader_and_blocked_explainer_certified,command_doc_record_certified,true,stable,no_preview_required,4,6,2,none
import_bridge_row,green,menu_affordance_parity_certified,shortcut_resolution_inspectable,leader_and_blocked_explainer_certified,command_doc_record_certified,true,stable,policy_authoring_or_waiver_preview,4,6,3,none
disabled_command_explainer,green,menu_affordance_parity_certified,shortcut_resolution_inspectable,leader_and_blocked_explainer_certified,command_doc_record_certified,true,stable,structured_diff_preview,4,6,4,none
leader_sequence_help,yellow,menu_affordance_parity_certified,shortcut_resolution_inspectable,disclosed_reduced_explainer_detail,command_doc_record_certified,true,beta,no_preview_required,4,6,3,waiver:release-proof-reduced-explainer:0001
command_documentation_surface,yellow,menu_affordance_parity_certified,shortcut_resolution_inspectable,leader_and_blocked_explainer_certified,disclosed_reduced_doc_detail,true,stable,no_preview_required,4,6,4,none
