component,consumer,representation,state_word,parity_state
editor_tab,editor_ui,desktop_full,modified,facets_preserved
editor_tab,support_export,exported_redacted,modified,facets_disclosed_narrowed
gutter,editor_ui,desktop_full,modified,facets_preserved
gutter,diff_ui,compact_narrowed,modified,facets_disclosed_narrowed
diagnostic_decoration,diagnostics_ui,desktop_full,outdated,facets_preserved
diagnostic_decoration,editor_ui,compact_narrowed,outdated,facets_disclosed_narrowed
diagnostic_decoration,support_export,exported_redacted,outdated,facets_disclosed_narrowed
code_action_chip,editor_ui,desktop_full,inferred_fix,facets_preserved
code_action_chip,diagnostics_ui,compact_narrowed,inferred_fix,facets_disclosed_narrowed
diff_view,diff_ui,desktop_full,modified,facets_preserved
diff_view,review_ui,remote_projected,modified,facets_disclosed_narrowed
diff_view,cli_export,exported_redacted,modified,facets_disclosed_narrowed
review_thread,review_ui,desktop_full,resolved,facets_preserved
review_thread,support_export,exported_redacted,resolved,facets_disclosed_narrowed
review_thread,product_ui,remote_projected,resolved,facets_disclosed_narrowed
ai_message_card,ai_ui,desktop_full,review_required,facets_preserved
ai_message_card,notebook_ui,compact_narrowed,review_required,facets_disclosed_narrowed
ai_message_card,support_export,exported_redacted,review_required,facets_disclosed_narrowed
evidence_timeline,ai_ui,desktop_full,export_safe_evidence,facets_preserved
evidence_timeline,notebook_ui,compact_narrowed,export_safe_evidence,facets_disclosed_narrowed
evidence_timeline,cli_export,exported_redacted,export_safe_evidence,facets_disclosed_narrowed
