row_id,consumer_class,consumer_surface,component_family,controls_lane,authority,label_parity,handoff
consumer:shell-status:power-state,shell_status_activity,shell_status_bar,power_state_indicator,power_throttle,full,preserved,none
consumer:activity-center:background-row,shell_status_activity,activity_center,background_work_row,background_work,full,preserved,none
consumer:activity-center:override-sheet,shell_status_activity,activity_center,per_workspace_override_sheet,override_policy,full,preserved,none
consumer:activity-center:resume-card,shell_status_activity,activity_center,resume_summary_card,resume_continuity,full,preserved,none
consumer:background-tray:background-banner,shell_status_activity,background_work_tray,background_work_banner,background_work,full,preserved,none
consumer:notebook:throttled-row,work_content_surface,notebook_canvas,throttled_subsystem_row,power_throttle,read_only,disclosed_narrowed,desktop_shell
consumer:preview:background-row,work_content_surface,preview_pane,background_work_row,background_work,read_only,disclosed_narrowed,desktop_shell
consumer:pipeline:throttled-row,work_content_surface,pipeline_runner,throttled_subsystem_row,power_throttle,inspect_only,disclosed_narrowed,desktop_shell
consumer:graph:stale-note,work_content_surface,graph_explorer,stale_result_continuity_note,resume_continuity,read_only,disclosed_narrowed,desktop_shell
consumer:docs-browser:power-state,docs_browser_companion,docs_browser_handoff,power_state_indicator,power_throttle,read_only,disclosed_narrowed,browser_readonly
consumer:docs-browser:override-note,docs_browser_companion,docs_browser_handoff,override_policy_note_row,override_policy,read_only,disclosed_narrowed,none
consumer:companion:background-banner,docs_browser_companion,companion_adjacent,background_work_banner,background_work,inspect_only,disclosed_narrowed,desktop_shell
consumer:incident:power-state,incident_diagnostics,incident_console,power_state_indicator,power_throttle,read_only,disclosed_narrowed,desktop_shell
consumer:diagnostics:override-note,incident_diagnostics,diagnostics_panel,override_policy_note_row,override_policy,read_only,disclosed_narrowed,desktop_shell
consumer:diagnostics:resume-card,incident_diagnostics,diagnostics_panel,resume_summary_card,resume_continuity,read_only,disclosed_narrowed,desktop_shell
consumer:support-export:override-sheet,support_export_help,support_export_replay,per_workspace_override_sheet,override_policy,export_only,disclosed_narrowed,support_packet
consumer:support-export:stale-note,support_export_help,support_export_replay,stale_result_continuity_note,resume_continuity,export_only,disclosed_narrowed,support_packet
consumer:help-about:power-state,support_export_help,help_about_reference,power_state_indicator,power_throttle,read_only,disclosed_narrowed,none
consumer:help-about:resume-card,support_export_help,help_about_reference,resume_summary_card,resume_continuity,read_only,disclosed_narrowed,none
