row_id,consumer_class,consumer_surface,component_family,controls_lane,authority,label_parity,handoff
consumer:docs-help:docs-pane-header,docs_help_pane,docs_browser_ui,docs_pane_header,docs_boundary_facts,full,preserved,none
consumer:docs-help:boundary-fact-grid,docs_help_pane,docs_browser_ui,boundary_fact_grid,docs_boundary_facts,read_only,disclosed_narrowed,none
consumer:marketplace:account-boundary-card,marketplace_account,marketplace_ui,marketplace_account_boundary_card,marketplace_handoff,full,preserved,none
consumer:account:account-boundary-card,marketplace_account,account_ui,marketplace_account_boundary_card,marketplace_handoff,read_only,disclosed_narrowed,none
consumer:marketplace:open-in-browser-row,marketplace_account,marketplace_ui,open_in_browser_handoff_row,marketplace_handoff,read_only,disclosed_narrowed,browser_readonly
consumer:embedded-webview:origin-bar,embedded_webview,embedded_webview_ui,embedded_origin_bar,origin_state,read_only,disclosed_narrowed,none
consumer:embedded-webview:state-panel,embedded_webview,embedded_webview_ui,embedded_state_panel,origin_state,inspect_only,disclosed_narrowed,none
consumer:product:embedded-origin-bar,embedded_webview,product_ui,embedded_origin_bar,origin_state,read_only,disclosed_narrowed,none
consumer:auth-handoff:auth-card,auth_handoff,auth_handoff_ui,auth_handoff_card,auth_dashboard,override_gated,disclosed_narrowed,browser_readonly
consumer:auth-handoff:open-in-browser-row,auth_handoff,auth_handoff_ui,open_in_browser_handoff_row,marketplace_handoff,read_only,disclosed_narrowed,browser_readonly
consumer:remote-dashboard:dashboard-header,remote_service_dashboard,remote_dashboard_ui,remote_service_dashboard_header,auth_dashboard,read_only,disclosed_narrowed,none
consumer:remote-dashboard:state-panel,remote_service_dashboard,remote_dashboard_ui,embedded_state_panel,origin_state,read_only,disclosed_narrowed,none
consumer:support-export:docs-pane-header,support_export_help,support_export,docs_pane_header,docs_boundary_facts,export_only,disclosed_narrowed,support_packet
consumer:support-export:remote-dashboard-header,support_export_help,support_export,remote_service_dashboard_header,auth_dashboard,export_only,disclosed_narrowed,support_packet
consumer:support-export:auth-card,support_export_help,support_export,auth_handoff_card,auth_dashboard,export_only,disclosed_narrowed,support_packet
