row_id,claimed_surface,run_attempt,input_request,artifact_publish,rerun_review,debug_hierarchy,export_parity,declared_claim,effective_claim,status
cert:task-execution,task_execution,certified,certified,certified,certified,certified,certified,full_interactive,full_interactive,certified
cert:test-execution,test_execution,certified,not_applicable,certified,certified,certified,certified,full_interactive,full_interactive,certified
cert:notebook-execution,notebook_execution,certified,certified,certified,not_applicable,certified,certified,full_interactive,full_interactive,certified
cert:publish-execution,publish_execution,certified,not_applicable,certified,certified,not_applicable,certified,full_interactive,full_interactive,certified
cert:request-execution,request_execution,certified,certified,certified,disclosed_narrowed,not_applicable,certified,full_interactive,review_required,narrowed_disclosed
cert:database-execution,database_execution,certified,certified,disclosed_narrowed,not_applicable,not_applicable,certified,full_interactive,read_only,narrowed_disclosed
cert:ai-execution,ai_execution,certified,disclosed_narrowed,certified,certified,certified,certified,full_interactive,review_required,narrowed_disclosed
cert:preview-execution,preview_execution,certified,not_applicable,disclosed_narrowed,not_applicable,not_applicable,certified,full_interactive,read_only,narrowed_disclosed
cert:debug-execution,debug_execution,certified,not_applicable,not_applicable,certified,disclosed_narrowed,certified,full_interactive,inspect_only,narrowed_disclosed
cert:support-export-replay,support_export_replay,certified,certified,certified,certified,certified,certified,read_only,read_only,certified
cert:docs-help-embeds,docs_help_embeds,certified,not_applicable,not_applicable,certified,not_applicable,certified,inspect_only,inspect_only,certified
cert:release-proof,release_proof,certified,not_applicable,certified,not_applicable,certified,certified,read_only,read_only,certified
