component,id,state_or_origin,status_or_scope,derived,first_party_or_captured,deep_link_kind
experiment_run_row,run-nb-2026-07-001,notebook_cell,succeeded,local_run,true,run_object
experiment_run_row,run-script-2026-07-014,script_task,running,local_run,true,notebook_location
experiment_run_row,run-sched-2026-07-020,scheduled_task,queued,managed_run,true,run_object
experiment_run_row,run-manual-2026-07-031,manual_attach,failed,manually_attached,false,docs_anchor
experiment_run_row,run-import-2025-11-002,imported_run,stale,imported_run,false,dataset_catalog_anchor
experiment_run_row,run-unknown-2026-07-040,unknown_origin,canceled,origin_unknown,false,no_deep_link
environment_fingerprint_card,fp-interpreter-001,captured_complete,interpreter,captured,true,run_object
environment_fingerprint_card,fp-kernelspec-002,captured_partial,kernel_spec,partially_captured,false,notebook_location
environment_fingerprint_card,fp-packages-003,pinned,packages,pinned,true,dataset_catalog_anchor
environment_fingerprint_card,fp-accelerator-004,drifted,hardware_accelerator,uncaptured,false,docs_anchor
environment_fingerprint_card,fp-os-005,captured_missing,os_platform,uncaptured,false,no_deep_link
environment_fingerprint_card,fp-container-006,unavailable,container_image,uncaptured,false,docs_anchor
