component,id,support_class,identity_state,experience,scope,exact_support,deep_link_kind
framework_pack_header,pack-next-app,officially_supported,identified_versioned,core_native,local_scope,true,pack_manifest
framework_pack_header,pack-django,community_supported,version_pinned,pack_backed,container_scope,false,provider_registry_entry
framework_pack_header,pack-svelte,experimental,version_drifted,heuristic,remote_scope,false,compatibility_reference
framework_pack_header,pack-rails-bridge,bridge_only,multiple_detected,bridged,managed_scope,false,docs_anchor
framework_pack_header,pack-legacy-php,deprecated,unversioned,heuristic,remote_scope,false,docs_anchor
framework_pack_header,pack-unknown,unsupported,unknown_pack,heuristic,unknown_scope,false,no_deep_link
framework_status_strip,pack-next-app,officially_supported,identified_versioned,core_native,local_scope,true,pack_manifest
framework_status_strip,pack-django,community_supported,version_pinned,pack_backed,container_scope,false,provider_registry_entry
framework_status_strip,pack-svelte,experimental,version_drifted,heuristic,remote_scope,false,compatibility_reference
framework_status_strip,pack-rails-bridge,bridge_only,multiple_detected,bridged,managed_scope,false,docs_anchor
framework_status_strip,pack-legacy-php,deprecated,unversioned,heuristic,remote_scope,false,docs_anchor
framework_status_strip,pack-unknown,unsupported,unknown_pack,heuristic,unknown_scope,false,compatibility_reference
