component,id,frozen_state,secondary_state,derived,blocking_or_recovery,deep_link_kind
generated_project_diff_card,diff-generated,generated_only,preview_ready,reviewable_preview,false,template_manifest
generated_project_diff_card,diff-user-owned,user_owned,review_required,review_required_before_write,false,docs_anchor
generated_project_diff_card,diff-conflict,generated_then_edited,conflict_detected,conflict_blocked,true,docs_anchor
generated_project_diff_card,diff-runtime,runtime_only,no_changes,no_changes_to_review,false,docs_anchor
generated_project_diff_card,diff-mixed,mixed_zone,diff_unavailable,diff_unavailable_blocked,true,starter_registry_entry
generated_project_diff_card,diff-unknown,zone_unknown,blocked,diff_unavailable_blocked,true,policy_reference
scaffold_handoff_banner,handoff-succeeded,create_succeeded,trusted,clean_create,false,template_manifest
scaffold_handoff_banner,handoff-partial,partial_bootstrap,trust_prompt_pending,partial_needs_recovery,true,docs_anchor
scaffold_handoff_banner,handoff-failed,create_failed,untrusted_blocked,failed_needs_recovery,true,policy_reference
scaffold_handoff_banner,handoff-continued,continued_without_starter,restricted_trust,continued_without_starter,false,docs_anchor
scaffold_handoff_banner,handoff-empty,created_empty,trust_not_applicable,created_empty,false,docs_anchor
scaffold_handoff_banner,handoff-provisioning,provisioning_pending,trust_prompt_pending,provisioning_pending,false,policy_reference
