component,id,primary_class,secondary,write_effect_posture,is_no_op,recovery_kind
generator_preview_sheet,gen-blocked-config,config_change,blocked,unknown_or_blocked,false,forward_fix_only
generator_preview_sheet,gen-add-orm,dependency_change,preview_ready,review_required_write,false,rollback_and_regenerate
generator_preview_sheet,gen-new-route,file_write,review_required,review_required_write,false,rollback
generator_preview_sheet,gen-add-task,script_or_task_change,rollback_available,reversible_applied,false,regenerate
generator_preview_sheet,gen-preview-only,no_change,regenerate_available,no_op_preview,true,no_recovery_needed
generator_preview_sheet,gen-unknown,unknown_impact,apply_ready,unknown_or_blocked,false,no_recovery_needed
run_config_scaffold_card,run-web-dev,creates_config_file,local_process,review_required_write,false,rollback
run_config_scaffold_card,run-api-container,edits_config_file,container,review_required_write,false,rollback_and_regenerate
run_config_scaffold_card,run-worker-ssh,adds_dependency,ssh_remote,review_required_write,false,rollback
run_config_scaffold_card,run-test-managed,no_write_preview,managed_workspace,no_op_preview,true,no_recovery_needed
run_config_scaffold_card,run-cli-cloud,rollback_available,cloud_remote,reversible_applied,false,rollback
run_config_scaffold_card,run-unknown,unknown_mutation,unknown_boundary,unknown_or_blocked,false,forward_fix_only
