control,id,source_or_boundary,state,derived,cited_or_explain_only,deep_link_kind
glossary_chip_or_card,glossary-preview-apply,cited_docs,citation_current,cited_current,true,docs_anchor
glossary_chip_or_card,glossary-sandbox,cited_spec,citation_versioned,cited_current,true,symbol_location
glossary_chip_or_card,glossary-review-thread,cited_help_pack,citation_cached,cited_cached,false,file_location
glossary_chip_or_card,glossary-quiet-hours,community_note,citation_stale,cited_stale,false,no_deep_link
glossary_chip_or_card,glossary-mirror-mode,uncited_draft,citation_offline_unavailable,offline_unavailable,false,no_deep_link
glossary_chip_or_card,glossary-handoff,unknown_source,citation_missing,uncited,false,no_deep_link
safe_explanation_banner,banner-why-suggested,explain_only,no_apply,explain_only,true,docs_anchor
safe_explanation_banner,banner-what-term-means,explain_then_offer_do,preview_available,preview_offered,false,symbol_location
safe_explanation_banner,banner-preview-required,preview_required,approval_pending,approval_pending,false,file_location
safe_explanation_banner,banner-approval-required,approval_required,applied_with_undo,applied_reversible,false,command_reference
safe_explanation_banner,banner-sandboxed-only,sandboxed_only,blocked_apply,apply_withheld,false,symbol_location
safe_explanation_banner,banner-no-hidden-apply,no_hidden_apply,mutation_declined,apply_withheld,false,docs_anchor
