control,id,state,mode_or_ownership,derived,completed_or_complete,deep_link_kind
guided_exercise_step,step-open-review,not_started,command_backed,pending,false,file_location
guided_exercise_step,step-edit-in-sandbox,active,sandboxed_practice,in_progress,false,surface_location
guided_exercise_step,step-approve-review,passed,read_only_walkthrough,completed,true,command_reference
guided_exercise_step,step-fix-setting,failed_retryable,checkpoint_gated,retryable,false,file_location
guided_exercise_step,step-replay-summary,replayable,self_paced,completed,true,docs_anchor
guided_exercise_step,step-practice-playground,sandboxed,no_hidden_apply,sandbox_practice,false,surface_location
progress_marker,marker-onboarding,not_started,local_only,unstarted,false,command_reference
progress_marker,marker-review-track,in_progress,user_owned_synced,underway,false,command_reference
progress_marker,marker-exported,completed,exported_by_choice,complete,true,file_location
progress_marker,marker-workspace,paused,workspace_shared,interrupted,false,surface_location
progress_marker,marker-reset,reset,cached_snapshot,interrupted,false,command_reference
progress_marker,marker-offline,offline_local,not_installed,offline_cached,false,docs_anchor
