control,id,object_kind,client_scope,freshness,state_or_target,derived,live_or_openable
incident_snapshot_card,incident-firing,incident_record,org_scoped,live,firing,active_unacknowledged,true
incident_snapshot_card,incident-acknowledged,incident_record,workspace_scoped,live,acknowledged,active_acknowledged,true
incident_snapshot_card,incident-investigating,incident_record,repo_scoped,cached,investigating,active_acknowledged,true
incident_snapshot_card,incident-mitigating,incident_record,org_scoped,live,mitigating,mitigating,true
incident_snapshot_card,incident-resolved,incident_record,repo_scoped,stale,resolved,resolved,true
incident_snapshot_card,incident-stale,incident_record,account_global,unknown_freshness,stale,stale_unknown,false
desktop_handoff_sheet,handoff-file,handoff_intent,repo_scoped,live,file_location,opens_exact_location,true
desktop_handoff_sheet,handoff-review,handoff_intent,repo_scoped,live,review_panel,opens_exact_panel,true
desktop_handoff_sheet,handoff-ci,handoff_intent,org_scoped,cached,ci_pipeline_run,opens_exact_panel,true
desktop_handoff_sheet,handoff-incident,handoff_intent,org_scoped,live,incident_workspace,opens_exact_workspace,true
desktop_handoff_sheet,handoff-agent,handoff_intent,workspace_scoped,offline_held,agent_session,opens_exact_workspace,true
desktop_handoff_sheet,handoff-none,handoff_intent,account_global,expired_snapshot,no_handoff,not_openable,false
