family,consumer,representation,install_topology_role_word,parity_state
per_user_managed,updater_service,desktop_full,updater_owner,facets_preserved
per_user_managed,shell_ui,desktop_full,updater_owner,facets_preserved
per_user_managed,cli_export,exported_redacted,updater_owner,facets_disclosed_narrowed
per_machine_managed,admin,desktop_full,policy_roots,facets_preserved
per_machine_managed,installer,desktop_full,policy_roots,facets_preserved
per_machine_managed,support_export,exported_redacted,policy_roots,facets_disclosed_narrowed
side_by_side_stable_preview,diagnostics,desktop_full,writable_state_roots,facets_preserved
side_by_side_stable_preview,shell_ui,desktop_full,writable_state_roots,facets_preserved
side_by_side_stable_preview,product_ui,remote_projected,writable_state_roots,facets_disclosed_narrowed
portable_mode,docs_help,desktop_full,install_mode,facets_preserved
portable_mode,diagnostics,desktop_full,install_mode,facets_preserved
portable_mode,product_ui,remote_projected,install_mode,facets_disclosed_narrowed
offline_airgap_bundle,admin,desktop_full,rollback_target,facets_preserved
offline_airgap_bundle,installer,compact_narrowed,rollback_target,facets_disclosed_narrowed
offline_airgap_bundle,support_export,exported_redacted,rollback_target,facets_disclosed_narrowed
