component,id,kind_or_origin,selection_or_trust,derived,selectable_or_exact,deep_link_kind
kernel_picker_row,row-local-cpython,local_interpreter,selected,currently_selected,true,kernel_manager
kernel_picker_row,row-venv-analysis,virtual_env,recommended,recommended_choice,true,kernel_manager
kernel_picker_row,row-conda-ml,conda_env,available,available_choice,true,docs_anchor
kernel_picker_row,row-container-legacy,container_kernel,incompatible,incompatible_choice,false,docs_anchor
kernel_picker_row,row-remote-gpu,remote_kernel,needs_install,needs_setup_first,false,kernel_manager
kernel_picker_row,row-managed-offline,managed_kernel,unavailable,unavailable_choice,false,support_bundle
kernel_origin_pill,pill-local-trusted,local_host,trusted_origin,exact_provenance,true,kernel_manager
kernel_origin_pill,pill-ssh-firstparty,ssh_remote,first_party,exact_provenance,true,kernel_manager
kernel_origin_pill,pill-container-thirdparty,container,third_party,degraded_provenance,false,docs_anchor
kernel_origin_pill,pill-devcontainer-unverified,devcontainer,unverified_origin,degraded_provenance,false,docs_anchor
kernel_origin_pill,pill-managed-restricted,managed_workspace,restricted_origin,restricted_provenance,false,support_bundle
kernel_origin_pill,pill-browser-unknown,browser_bridge,unknown_origin,unknown_provenance,false,no_deep_link
