surface_family,status,resolver_inspection,bridge_outcome,leader_sequence_inspection,resolver_export,headless_parity,winning_source,inspector_fields,bridge_outcomes,evaluated_surfaces,waiver
menu_item,green,winner_shadowed_source_and_fallback_certified,controlled_states_and_migration_actions_certified,precedence_timeout_cancel_narration_certified,command_id_and_winning_source_reconstructable,true,user_keybinding,7,6,3,none
menu_group,green,winner_shadowed_source_and_fallback_certified,controlled_states_and_migration_actions_certified,precedence_timeout_cancel_narration_certified,command_id_and_winning_source_reconstructable,true,none,7,6,2,none
context_menu,green,winner_shadowed_source_and_fallback_certified,controlled_states_and_migration_actions_certified,precedence_timeout_cancel_narration_certified,command_id_and_winning_source_reconstructable,true,user_keybinding,7,6,2,none
command_bar,green,winner_shadowed_source_and_fallback_certified,controlled_states_and_migration_actions_certified,precedence_timeout_cancel_narration_certified,command_id_and_winning_source_reconstructable,true,user_keybinding,7,6,3,none
keybinding_resolver_layer,yellow,disclosed_reduced_inspector_detail,controlled_states_and_migration_actions_certified,precedence_timeout_cancel_narration_certified,command_id_and_winning_source_reconstructable,true,leader_sequence,7,6,3,none
conflict_review_sheet,green,winner_shadowed_source_and_fallback_certified,controlled_states_and_migration_actions_certified,precedence_timeout_cancel_narration_certified,command_id_and_winning_source_reconstructable,true,leader_sequence,7,6,2,none
import_bridge_row,yellow,winner_shadowed_source_and_fallback_certified,disclosed_partial_bridge_coverage,precedence_timeout_cancel_narration_certified,command_id_and_winning_source_reconstructable,true,leader_sequence,7,6,3,none
disabled_command_explainer,green,winner_shadowed_source_and_fallback_certified,controlled_states_and_migration_actions_certified,precedence_timeout_cancel_narration_certified,command_id_and_winning_source_reconstructable,true,none,7,6,4,none
leader_sequence_help,yellow,winner_shadowed_source_and_fallback_certified,controlled_states_and_migration_actions_certified,disclosed_reduced_sequence_hint,command_id_and_winning_source_reconstructable,true,leader_sequence,7,6,3,waiver:leader-sequence-reduced-hint:0001
command_documentation_surface,yellow,winner_shadowed_source_and_fallback_certified,controlled_states_and_migration_actions_certified,precedence_timeout_cancel_narration_certified,disclosed_partial_capture,true,leader_sequence,7,6,4,none
