control,id,state_or_trigger,scope_or_dismissal,derived,active_or_delivered,deep_link_kind
learning_mode_toggle,toggle-workspace-on,on,workspace,active,true,command_reference
learning_mode_toggle,toggle-feature-family,per_feature_family,feature_family,scoped_active,true,command_reference
learning_mode_toggle,toggle-sandboxed,sandboxed_only,session,sandboxed_active,true,docs_anchor
learning_mode_toggle,toggle-global-paused,paused,global,paused,false,help_topic
learning_mode_toggle,toggle-surface-off,off,surface,inactive,false,file_location
learning_mode_toggle,toggle-session-ended,ended,unavailable,inactive,false,help_topic
tip_card,tip-first-encounter,first_encounter,dismissible,delivered,true,command_reference
tip_card,tip-feature-discovery,feature_discovery,persistent_until_acted,delivered_persistent,true,command_reference
tip_card,tip-error-recovery,error_recovery,snoozed,snoozed,false,docs_anchor
tip_card,tip-mode-change,mode_change,dismissed,withheld,false,help_topic
tip_card,tip-idle-hint,idle_hint,auto_expired,withheld,false,docs_anchor
tip_card,tip-contextual-followup,contextual_followup,suppressed_by_preference,withheld,false,help_topic
