object_family,status,status_surface_binding,status_code_export,last_failure_reason,recovery_affordance_binding,headless_parity,evaluated_surfaces,waiver
workspace,green,bound_to_one_primary_surface,stable_code_exports_everywhere,controlled_reason_reported,named_recovery_present,true,7,none
extension,green,bound_to_one_primary_surface,stable_code_exports_everywhere,controlled_reason_reported,named_recovery_present,true,7,none
remote_session,green,bound_to_one_primary_surface,stable_code_exports_everywhere,controlled_reason_reported,named_recovery_present,true,7,none
collaboration_session,green,bound_to_one_primary_surface,stable_code_exports_everywhere,controlled_reason_reported,named_recovery_present,true,6,none
ai_action,yellow,bound_to_one_primary_surface,stable_code_exports_everywhere,disclosed_generic_reason,named_recovery_present,true,6,none
update_rollback,green,bound_to_one_primary_surface,stable_code_exports_everywhere,controlled_reason_reported,named_recovery_present,true,8,none
notebook_runtime,green,bound_to_one_primary_surface,stable_code_exports_everywhere,controlled_reason_reported,named_recovery_present,true,7,none
request_api_run,green,bound_to_one_primary_surface,stable_code_exports_everywhere,controlled_reason_reported,named_recovery_present,true,7,none
preview_session,yellow,bound_to_one_primary_surface,stable_code_exports_everywhere,controlled_reason_reported,disclosed_reduced_recovery,true,6,none
pipeline_run,green,bound_to_one_primary_surface,stable_code_exports_everywhere,controlled_reason_reported,named_recovery_present,true,6,none
data_session,green,bound_to_one_primary_surface,stable_code_exports_everywhere,controlled_reason_reported,named_recovery_present,true,7,none
profiler_capture,yellow,bound_to_one_primary_surface,disclosed_partial_export,controlled_reason_reported,named_recovery_present,true,6,none
companion_session,yellow,disclosed_surface_relocation,stable_code_exports_everywhere,controlled_reason_reported,named_recovery_present,true,6,waiver:companion-surface-relocation:0001
