object_family,status,lifecycle_state_truth,checkpoint_truth,recovery_affordance_truth,exported_proof_parity,headless_parity,profiles,truth_pillars,evaluated_surfaces,waiver
workspace,green,explicit_state_truth_certified,named_checkpoint_truth_certified,named_recovery_and_reason_certified,exported_surfaces_reflect_current_proof,true,6,3,7,none
extension,green,explicit_state_truth_certified,named_checkpoint_truth_certified,named_recovery_and_reason_certified,exported_surfaces_reflect_current_proof,true,6,3,7,none
remote_session,green,explicit_state_truth_certified,named_checkpoint_truth_certified,named_recovery_and_reason_certified,exported_surfaces_reflect_current_proof,true,6,3,7,none
collaboration_session,green,explicit_state_truth_certified,named_checkpoint_truth_certified,named_recovery_and_reason_certified,exported_surfaces_reflect_current_proof,true,6,3,6,none
ai_action,green,explicit_state_truth_certified,named_checkpoint_truth_certified,named_recovery_and_reason_certified,exported_surfaces_reflect_current_proof,true,6,3,6,none
update_rollback,green,explicit_state_truth_certified,named_checkpoint_truth_certified,named_recovery_and_reason_certified,exported_surfaces_reflect_current_proof,true,6,3,8,none
notebook_runtime,green,explicit_state_truth_certified,named_checkpoint_truth_certified,named_recovery_and_reason_certified,exported_surfaces_reflect_current_proof,true,6,3,7,none
request_api_run,green,explicit_state_truth_certified,named_checkpoint_truth_certified,named_recovery_and_reason_certified,exported_surfaces_reflect_current_proof,true,6,3,7,none
preview_session,yellow,explicit_state_truth_certified,named_checkpoint_truth_certified,named_recovery_and_reason_certified,disclosed_partial_export_refresh,true,6,3,6,none
pipeline_run,yellow,explicit_state_truth_certified,disclosed_compacted_checkpoint_truth,named_recovery_and_reason_certified,exported_surfaces_reflect_current_proof,true,6,3,6,none
data_session,green,explicit_state_truth_certified,named_checkpoint_truth_certified,named_recovery_and_reason_certified,exported_surfaces_reflect_current_proof,true,6,3,7,none
profiler_capture,yellow,disclosed_reduced_state_truth,named_checkpoint_truth_certified,named_recovery_and_reason_certified,exported_surfaces_reflect_current_proof,true,6,3,6,none
companion_session,yellow,explicit_state_truth_certified,named_checkpoint_truth_certified,disclosed_reduced_recovery_truth,exported_surfaces_reflect_current_proof,true,6,3,6,waiver:companion-reduced-recovery-truth:0001
