object_family,status,enum_emission,transition_event,ui_export_parity,shared_contract_consumption,headless_parity,telemetry_sinks,mandatory_fields,evaluated_surfaces,waiver
workspace,green,stable_enums_emitted_to_every_sink,transition_events_emitted_with_attribution,ui_and_export_naming_and_fields_agree,shared_contract_consumed_no_local_prose,true,4,3,7,none
extension,green,stable_enums_emitted_to_every_sink,transition_events_emitted_with_attribution,ui_and_export_naming_and_fields_agree,shared_contract_consumed_no_local_prose,true,4,3,7,none
remote_session,green,stable_enums_emitted_to_every_sink,transition_events_emitted_with_attribution,ui_and_export_naming_and_fields_agree,shared_contract_consumed_no_local_prose,true,4,3,7,none
collaboration_session,green,stable_enums_emitted_to_every_sink,transition_events_emitted_with_attribution,ui_and_export_naming_and_fields_agree,shared_contract_consumed_no_local_prose,true,4,3,6,none
ai_action,green,stable_enums_emitted_to_every_sink,transition_events_emitted_with_attribution,ui_and_export_naming_and_fields_agree,shared_contract_consumed_no_local_prose,true,4,3,6,none
update_rollback,green,stable_enums_emitted_to_every_sink,transition_events_emitted_with_attribution,ui_and_export_naming_and_fields_agree,shared_contract_consumed_no_local_prose,true,4,3,8,none
notebook_runtime,green,stable_enums_emitted_to_every_sink,transition_events_emitted_with_attribution,ui_and_export_naming_and_fields_agree,shared_contract_consumed_no_local_prose,true,4,3,7,none
request_api_run,green,stable_enums_emitted_to_every_sink,transition_events_emitted_with_attribution,ui_and_export_naming_and_fields_agree,shared_contract_consumed_no_local_prose,true,4,3,7,none
preview_session,yellow,stable_enums_emitted_to_every_sink,transition_events_emitted_with_attribution,ui_and_export_naming_and_fields_agree,disclosed_partial_contract_adoption,true,4,3,6,none
pipeline_run,yellow,stable_enums_emitted_to_every_sink,disclosed_coarse_transition_events,ui_and_export_naming_and_fields_agree,shared_contract_consumed_no_local_prose,true,4,3,6,none
data_session,green,stable_enums_emitted_to_every_sink,transition_events_emitted_with_attribution,ui_and_export_naming_and_fields_agree,shared_contract_consumed_no_local_prose,true,4,3,7,none
profiler_capture,yellow,disclosed_reduced_enum_sink_set,transition_events_emitted_with_attribution,ui_and_export_naming_and_fields_agree,shared_contract_consumed_no_local_prose,true,4,3,6,none
companion_session,yellow,stable_enums_emitted_to_every_sink,transition_events_emitted_with_attribution,disclosed_export_field_narrowing,shared_contract_consumed_no_local_prose,true,4,3,6,waiver:companion-export-field-narrowing:0001
