object_family,status,safe_transition,transition_attribution,checkpoint_sequencing,local_fallback,headless_parity,evaluated_surfaces,waiver
workspace,green,safe_retry_cancel_rollback_rules,actor_subsystem_attributed,required_checkpoints_enforced,local_editing_protected_fallback,true,7,none
extension,green,safe_retry_cancel_rollback_rules,actor_subsystem_attributed,required_checkpoints_enforced,local_editing_protected_fallback,true,7,none
remote_session,yellow,disclosed_reduced_transition_set,actor_subsystem_attributed,required_checkpoints_enforced,local_editing_protected_fallback,true,7,none
collaboration_session,yellow,safe_retry_cancel_rollback_rules,actor_subsystem_attributed,required_checkpoints_enforced,disclosed_reduced_fallback,true,6,waiver:collaboration-reduced-fallback:0001
ai_action,green,safe_retry_cancel_rollback_rules,actor_subsystem_attributed,required_checkpoints_enforced,local_editing_protected_fallback,true,6,none
update_rollback,green,safe_retry_cancel_rollback_rules,actor_subsystem_attributed,required_checkpoints_enforced,local_editing_protected_fallback,true,8,none
notebook_runtime,yellow,safe_retry_cancel_rollback_rules,actor_subsystem_attributed,disclosed_compacted_checkpoints,local_editing_protected_fallback,true,7,none
request_api_run,green,safe_retry_cancel_rollback_rules,actor_subsystem_attributed,required_checkpoints_enforced,local_editing_protected_fallback,true,7,none
preview_session,green,safe_retry_cancel_rollback_rules,actor_subsystem_attributed,required_checkpoints_enforced,local_editing_protected_fallback,true,6,none
pipeline_run,yellow,safe_retry_cancel_rollback_rules,disclosed_coarse_attribution,required_checkpoints_enforced,local_editing_protected_fallback,true,6,none
data_session,green,safe_retry_cancel_rollback_rules,actor_subsystem_attributed,required_checkpoints_enforced,local_editing_protected_fallback,true,7,none
profiler_capture,green,safe_retry_cancel_rollback_rules,actor_subsystem_attributed,required_checkpoints_enforced,local_editing_protected_fallback,true,6,none
companion_session,green,safe_retry_cancel_rollback_rules,actor_subsystem_attributed,required_checkpoints_enforced,local_editing_protected_fallback,true,6,none
