state,status,cross_surface_term,semantic_distinction,export_code_parity,published_copy_narrowing,headless_parity,evaluated_surfaces,waiver
ready,green,term_stable_across_all_surfaces,distinct_meaning_preserved,code_exports_identically_all_paths,copy_auto_narrows_on_state_change,true,8,none
warming,green,term_stable_across_all_surfaces,distinct_meaning_preserved,code_exports_identically_all_paths,copy_auto_narrows_on_state_change,true,8,none
partial,green,term_stable_across_all_surfaces,distinct_meaning_preserved,code_exports_identically_all_paths,copy_auto_narrows_on_state_change,true,8,none
stale,green,term_stable_across_all_surfaces,distinct_meaning_preserved,code_exports_identically_all_paths,copy_auto_narrows_on_state_change,true,8,none
rebuilding,green,term_stable_across_all_surfaces,distinct_meaning_preserved,code_exports_identically_all_paths,copy_auto_narrows_on_state_change,true,8,none
restricted,green,term_stable_across_all_surfaces,distinct_meaning_preserved,code_exports_identically_all_paths,copy_auto_narrows_on_state_change,true,8,none
policy_blocked,yellow,term_stable_across_all_surfaces,distinct_meaning_preserved,disclosed_partial_export,copy_auto_narrows_on_state_change,true,8,none
reconnecting,green,term_stable_across_all_surfaces,distinct_meaning_preserved,code_exports_identically_all_paths,copy_auto_narrows_on_state_change,true,8,none
degraded,green,term_stable_across_all_surfaces,distinct_meaning_preserved,code_exports_identically_all_paths,copy_auto_narrows_on_state_change,true,8,none
read_only_degraded,yellow,term_stable_across_all_surfaces,disclosed_grouped_presentation,code_exports_identically_all_paths,copy_auto_narrows_on_state_change,true,8,none
unavailable,green,term_stable_across_all_surfaces,distinct_meaning_preserved,code_exports_identically_all_paths,copy_auto_narrows_on_state_change,true,8,none
rollback_available,green,term_stable_across_all_surfaces,distinct_meaning_preserved,code_exports_identically_all_paths,copy_auto_narrows_on_state_change,true,8,none
deprecated,yellow,term_stable_across_all_surfaces,distinct_meaning_preserved,code_exports_identically_all_paths,disclosed_manual_narrowing,true,8,none
experimental,yellow,disclosed_surface_paraphrase,distinct_meaning_preserved,code_exports_identically_all_paths,copy_auto_narrows_on_state_change,true,8,waiver:experimental-surface-paraphrase:0001
retest_pending,green,term_stable_across_all_surfaces,distinct_meaning_preserved,code_exports_identically_all_paths,copy_auto_narrows_on_state_change,true,8,none
