row_id,consumer_group,consumer_surface,component_family,authority,freshness,adapter_source,confidence,label_parity
mbc.container.manifest_header,container_devcontainer,devcontainer_manifest_panel,manifest_editor_header,full,live_fresh,native_build_server,high,preserved
mbc.container.schema_validator,container_devcontainer,devcontainer_manifest_panel,schema_validator_row,read_only,live_fresh,heuristic_parse,medium,disclosed_narrowed
mbc.container.target_graph,container_devcontainer,container_target_graph_inspector,target_graph_row,full,live_fresh,native_build_server,high,preserved
mbc.container.target_context_chips,container_devcontainer,container_target_graph_inspector,target_context_chip_group,read_only,cached_stale,imported_snapshot,low,disclosed_narrowed
mbc.request.resource_link,request_live_resource_handoff,request_resource_link_handoff,resource_link_row,compare_only,live_fresh,native_build_event,high,disclosed_narrowed
mbc.request.resource_explorer,request_live_resource_handoff,live_resource_explorer_handoff,resource_explorer_row,read_only,cached_stale,imported_snapshot,low,disclosed_narrowed
mbc.request.adapter_badge,request_live_resource_handoff,request_resource_link_handoff,adapter_source_badge,inspect_only,live_fresh,heuristic_parse,medium,disclosed_narrowed
mbc.support.fallback_confidence,incident_support,incident_support_bundle,fallback_confidence_drawer,export_only,imported_snapshot,heuristic_parse,low,disclosed_narrowed
mbc.support.raw_event,incident_support,incident_support_bundle,raw_event_drawer,export_only,imported_snapshot,native_build_event,high,disclosed_narrowed
mbc.support.capability_matrix,incident_support,support_export,capability_matrix,export_only,cached_stale,imported_snapshot,medium,disclosed_narrowed
mbc.support.release_target_context,incident_support,release_proof,target_context_chip_group,export_only,plan_only,provider_overlay,medium,disclosed_narrowed
mbc.ai.adapter_badge,ai_explanation,ai_execution_explainer,adapter_source_badge,inspect_only,live_fresh,native_build_server,high,disclosed_narrowed
mbc.ai.capability_matrix,ai_explanation,ai_confidence_narrative,capability_matrix,inspect_only,cached_stale,heuristic_parse,low,disclosed_narrowed
mbc.ai.docs_manifest_header,ai_explanation,docs_help,manifest_editor_header,read_only,plan_only,native_build_server,high,disclosed_narrowed
