family,status,qualification,canonical_slot,fallback_slot,min_size_enforcement,min_useful_width_px,min_useful_height_px,compare_fallback,compare_fallback_strategy,compact_strategy,status_continuity,waiver
notebook,green,stable,main_workspace,main_workspace,min_useful_size_enforced,560,360,safe_fallback_before_unusable_split,tabbed_compare,tabbed_compare,identity_breadcrumbs_status_preserved,none
data_grid,green,stable,main_workspace,main_workspace,min_useful_size_enforced,560,360,safe_fallback_before_unusable_split,tabbed_compare,tabbed_compare,identity_breadcrumbs_status_preserved,none
profiler,yellow,stable,bottom_panel,transient_overlay,disclosed_reduced_minimum,360,240,safe_fallback_before_unusable_split,staged_peek,staged_peek,identity_breadcrumbs_status_preserved,none
pipeline,green,stable,main_workspace,bottom_panel,min_useful_size_enforced,560,360,safe_fallback_before_unusable_split,tabbed_compare,tabbed_compare,identity_breadcrumbs_status_preserved,none
docs,green,stable,main_workspace,transient_overlay,min_useful_size_enforced,560,360,safe_fallback_before_unusable_split,tabbed_compare,tabbed_compare,identity_breadcrumbs_status_preserved,none
preview,green,stable,right_inspector,transient_overlay,min_useful_size_enforced,560,360,safe_fallback_before_unusable_split,staged_peek,staged_peek,identity_breadcrumbs_status_preserved,none
review,green,stable,main_workspace,right_inspector,min_useful_size_enforced,560,360,safe_fallback_before_unusable_split,tabbed_compare,tabbed_compare,identity_breadcrumbs_status_preserved,none
incident,yellow,beta,main_workspace,right_inspector,min_useful_size_enforced,520,340,safe_fallback_before_unusable_split,tabbed_compare,tabbed_compare,identity_breadcrumbs_status_preserved,none
companion,yellow,beta,right_inspector,transient_overlay,min_useful_size_enforced,520,340,safe_fallback_before_unusable_split,sequential_disclosure,sequential_disclosure,disclosed_status_relocation,waiver:companion-status-relocation:0001
operator,yellow,beta,bottom_panel,transient_overlay,min_useful_size_enforced,520,340,disclosed_fallback_narrowing,staged_peek,staged_peek,identity_breadcrumbs_status_preserved,none
