family,consumer,representation,interaction_role_word,parity_state
motion_token,shell_ui,desktop_full,motion,facets_preserved
motion_token,onboarding_ui,desktop_full,motion,facets_preserved
motion_token,support_export,exported_redacted,motion,facets_disclosed_narrowed
reduced_motion,shell_ui,desktop_full,motion,facets_preserved
reduced_motion,editor_ui,desktop_full,motion,facets_preserved
opacity_scrim,settings_ui,desktop_full,overlay,facets_preserved
opacity_scrim,shell_ui,compact_narrowed,overlay,facets_disclosed_narrowed
opacity_scrim,cli_export,exported_redacted,overlay,facets_disclosed_narrowed
layer_order,shell_ui,desktop_full,layer,facets_preserved
layer_order,marketplace_ui,desktop_full,layer,facets_preserved
portal_ownership,shell_ui,desktop_full,portal,facets_preserved
portal_ownership,marketplace_ui,remote_projected,portal,facets_disclosed_narrowed
iconography,editor_ui,desktop_full,icon,facets_preserved
iconography,help_ui,desktop_full,icon,facets_preserved
iconography,cli_export,exported_redacted,icon,facets_disclosed_narrowed
illustration,onboarding_ui,desktop_full,illustration,facets_preserved
illustration,help_ui,desktop_full,illustration,facets_preserved
illustration,product_ui,desktop_full,illustration,facets_preserved
illustration,support_export,exported_redacted,illustration,facets_disclosed_narrowed
