family,status,qualification,canonical_slot,fallback_slot,continuity_parity,layout_locality,owning_window_routing,recovery_drill,window_classes,waiver
notebook,green,stable,main_workspace,main_workspace,all_truths_preserved_in_every_window,layout_density_focus_local_risk_global,routes_to_owning_window_object,restore_dependency_topology_predictable,primary_workspace_window|secondary_detached_window,none
data_grid,green,stable,main_workspace,main_workspace,all_truths_preserved_in_every_window,layout_density_focus_local_risk_global,routes_to_owning_window_object,restore_dependency_topology_predictable,primary_workspace_window|secondary_detached_window,none
profiler,green,stable,bottom_panel,transient_overlay,all_truths_preserved_in_every_window,layout_density_focus_local_risk_global,routes_to_owning_window_object,restore_dependency_topology_predictable,primary_workspace_window|secondary_detached_window|floating_utility_window,none
pipeline,green,stable,main_workspace,bottom_panel,all_truths_preserved_in_every_window,layout_density_focus_local_risk_global,routes_to_owning_window_object,restore_dependency_topology_predictable,primary_workspace_window|secondary_detached_window,none
docs,yellow,stable,main_workspace,transient_overlay,all_truths_preserved_in_every_window,disclosed_local_only_state,routes_to_owning_window_object,restore_dependency_topology_predictable,primary_workspace_window|secondary_detached_window|floating_utility_window,none
preview,green,stable,right_inspector,transient_overlay,all_truths_preserved_in_every_window,layout_density_focus_local_risk_global,routes_to_owning_window_object,restore_dependency_topology_predictable,primary_workspace_window|floating_utility_window|companion_overlay_window,none
review,green,stable,main_workspace,right_inspector,all_truths_preserved_in_every_window,layout_density_focus_local_risk_global,routes_to_owning_window_object,restore_dependency_topology_predictable,primary_workspace_window|secondary_detached_window,none
incident,yellow,beta,main_workspace,right_inspector,all_truths_preserved_in_every_window,layout_density_focus_local_risk_global,routes_to_owning_window_object,disclosed_recovery_narrowing,primary_workspace_window|secondary_detached_window,none
companion,yellow,beta,right_inspector,transient_overlay,all_truths_preserved_in_every_window,layout_density_focus_local_risk_global,disclosed_routing_relocation,restore_dependency_topology_predictable,primary_workspace_window|companion_overlay_window|floating_utility_window,waiver:companion-routing-relocation:0001
operator,yellow,beta,bottom_panel,transient_overlay,disclosed_truth_projection_narrowing,layout_density_focus_local_risk_global,routes_to_owning_window_object,restore_dependency_topology_predictable,primary_workspace_window|secondary_detached_window|floating_utility_window,none
