row_id,consumer_class,consumer_surface,component_family,controls_lane,authority,label_parity,handoff
consumer:shell-explorer:tab-strip,shell_explorer,shell_ui,tab_strip,tab_strip_breadcrumbs,full,preserved,none
consumer:shell-explorer:tree-view,shell_explorer,explorer_ui,tree_view,tree_view_list_view,full,preserved,none
consumer:shell-explorer:breadcrumbs,shell_explorer,explorer_ui,breadcrumbs,tab_strip_breadcrumbs,read_only,disclosed_narrowed,none
consumer:shell-explorer:panel-header,shell_explorer,shell_ui,panel_header,panel_header_local_action_cluster,read_only,disclosed_narrowed,none
consumer:search-graph:list-view,search_graph,search_ui,list_view,tree_view_list_view,read_only,disclosed_narrowed,none
consumer:search-graph:table-grid,search_graph,search_ui,table_grid,table_grid_panel_header,read_only,disclosed_narrowed,none
consumer:search-graph:breadcrumbs,search_graph,ai_context_ui,breadcrumbs,tab_strip_breadcrumbs,inspect_only,disclosed_narrowed,none
consumer:search-graph:tab-strip,search_graph,search_ui,tab_strip,tab_strip_breadcrumbs,read_only,disclosed_narrowed,none
consumer:review:list-view,review,review_ui,list_view,tree_view_list_view,full,preserved,none
consumer:review:panel-header,review,review_ui,panel_header,panel_header_local_action_cluster,read_only,disclosed_narrowed,none
consumer:request-data:table-grid,request_data,data_ui,table_grid,table_grid_panel_header,full,preserved,none
consumer:request-data:tree-view,request_data,data_ui,tree_view,tree_view_list_view,read_only,disclosed_narrowed,none
consumer:help-center:breadcrumbs,help_center,help_ui,breadcrumbs,tab_strip_breadcrumbs,read_only,disclosed_narrowed,none
consumer:help-center:panel-header,help_center,help_ui,panel_header,panel_header_local_action_cluster,read_only,disclosed_narrowed,none
consumer:support-export:tab-strip,support_export_help,support_export,tab_strip,tab_strip_breadcrumbs,export_only,disclosed_narrowed,support_packet
consumer:support-export:table-grid,support_export_help,support_export,table_grid,table_grid_panel_header,export_only,disclosed_narrowed,support_packet
consumer:support-export:list-view,support_export_help,support_export,list_view,tree_view_list_view,export_only,disclosed_narrowed,support_packet
