component,id,state_or_source,identity_or_connection,derived,live_or_canonical,deep_link_kind
notebook_document_header,hdr-local-analysis,local_ipynb,saved_clean,local_document,true,notebook_location
notebook_document_header,hdr-remote-featurize,remote_ipynb,autosaved,remote_document,true,notebook_location
notebook_document_header,hdr-managed-retrain,managed_workspace_ipynb,unsaved_changes,managed_document,true,kernel_manager
notebook_document_header,hdr-imported-baseline,imported_ipynb,read_only,imported_document,false,docs_anchor
notebook_document_header,hdr-scratch-untitled,scratch_untitled,conflicted,scratch_document,false,support_bundle
notebook_document_header,hdr-unknown-recovered,unknown_source,recovered,unknown_document,false,no_deep_link
kernel_state_strip,strip-ready-local,idle_ready,connected_local,ready_live,true,kernel_manager
kernel_state_strip,strip-busy-remote,busy_running,connected_remote,busy_live,true,kernel_manager
kernel_state_strip,strip-queued-container,queued_pending,reconnecting,queued_live,true,kernel_manager
kernel_state_strip,strip-disconnected-ssh,disconnected_reconnecting,disconnected,disconnected_recoverable,false,kernel_manager
kernel_state_strip,strip-inspect-only,interrupted,connection_lost,inspect_only,false,docs_anchor
kernel_state_strip,strip-no-kernel,dead_no_kernel,never_connected,no_kernel_editable,false,no_deep_link
