row_id,consumer_class,consumer_surface,component_family,controls_lane,authority,label_parity,handoff
consumer:notebook-editor:notebook-document-header,notebook_editor,notebook_ui,notebook_document_header,document_kernel,full,preserved,none
consumer:notebook-editor:kernel-state-strip,notebook_editor,notebook_ui,kernel_state_strip,document_kernel,read_only,disclosed_narrowed,none
consumer:notebook-editor:kernel-picker-row,notebook_editor,kernel_manager_ui,kernel_picker_row,kernel_choice,override_gated,disclosed_narrowed,none
consumer:notebook-editor:kernel-origin-pill,notebook_editor,kernel_manager_ui,kernel_origin_pill,kernel_choice,read_only,disclosed_narrowed,none
consumer:notebook-editor:output-trust-banner,notebook_editor,output_viewer_ui,output_trust_banner,output_trust,read_only,disclosed_narrowed,none
consumer:notebook-editor:output-provenance-chip-group,notebook_editor,output_viewer_ui,output_provenance_chip_group,output_trust,inspect_only,disclosed_narrowed,none
consumer:notebook-editor:kernel-recovery-card,notebook_editor,notebook_ui,kernel_recovery_card,restart_recovery,override_gated,disclosed_narrowed,none
consumer:diff-review:output-trust-banner,diff_review,review_ui,output_trust_banner,output_trust,read_only,disclosed_narrowed,none
consumer:diff-review:restart-consequence-card,diff_review,review_ui,restart_consequence_card,restart_recovery,inspect_only,disclosed_narrowed,none
consumer:debug:kernel-state-strip,debug,debugger_ui,kernel_state_strip,document_kernel,inspect_only,disclosed_narrowed,none
consumer:debug:restart-consequence-card,debug,debugger_ui,restart_consequence_card,restart_recovery,override_gated,disclosed_narrowed,none
consumer:ai-context:kernel-origin-pill,ai_context,ai_context_ui,kernel_origin_pill,kernel_choice,inspect_only,disclosed_narrowed,none
consumer:ai-context:output-provenance-chip-group,ai_context,ai_context_ui,output_provenance_chip_group,output_trust,read_only,disclosed_narrowed,none
consumer:cli:output-trust-banner,cli,cli_surface,output_trust_banner,output_trust,export_only,disclosed_narrowed,cli_headless
consumer:support-export:notebook-document-header,support_export,support_export,notebook_document_header,document_kernel,export_only,disclosed_narrowed,support_packet
consumer:support-export:kernel-recovery-card,support_export,support_export,kernel_recovery_card,restart_recovery,export_only,disclosed_narrowed,support_packet
