control,id,object_kind,client_scope,freshness,state_or_kind,derived,live_or_sufficient
notification_row,notif-build-critical,ci_run,repo_scoped,live,critical,live,true
notification_row,notif-incident-high,incident_record,workspace_scoped,stale,high,stale,false
notification_row,notif-review-moderate,review_item,repo_scoped,cached,moderate,cached,false
notification_row,notif-agent-low,followed_session,device_scoped,offline_held,low,stale,false
notification_row,notif-sync-info,notification_event,org_scoped,unknown_freshness,informational,unknown,false
notification_row,notif-mention-unspec,notification_event,account_global,expired_snapshot,unspecified,stale,false
mobile_review_card,review-agent-change,review_item,repo_scoped,live,agent_change,comment_capable,true
mobile_review_card,review-diff,review_item,repo_scoped,cached,diff_review,review_only,true
mobile_review_card,review-comment-thread,review_item,workspace_scoped,live,comment_thread,comment_capable,true
mobile_review_card,review-approval,review_item,repo_scoped,live,approval_request,desktop_required,false
mobile_review_card,review-policy-gate,review_item,org_scoped,stale,policy_gate,policy_blocked,false
mobile_review_card,review-merge-readiness,review_item,repo_scoped,cached,merge_readiness,review_only,true
