component,id,class_or_kind,freshness_or_state,derived,live_or_current,deep_link_kind
output_trust_banner,banner-trusted-live,trusted_output,live_output,trusted_local_active,true,output_viewer
output_trust_banner,banner-sanitized-stale,sanitized_output,stale_output,sanitized_rich,false,notebook_location
output_trust_banner,banner-sandboxed-cached,sandboxed_output,cached_output,isolated_remote_active,false,output_viewer
output_trust_banner,banner-raw-superseded,raw_active_output,superseded_output,plain_text,false,notebook_location
output_trust_banner,banner-blocked-cleared,blocked_output,cleared_output,blocked_content,false,support_bundle
output_trust_banner,banner-unknown-nooutput,unknown_trust,no_output,unknown_content,false,docs_anchor
output_provenance_chip_group,chips-cell-complete,produced_by_cell,provenance_complete,cell_produced,true,notebook_location
output_provenance_chip_group,chips-run-pinned,produced_by_run,execution_count_pinned,run_produced,true,notebook_location
output_provenance_chip_group,chips-imported-partial,imported_output,provenance_partial,imported_origin,false,docs_anchor
output_provenance_chip_group,chips-restored-drifted,restored_output,execution_count_drifted,restored_origin,false,support_bundle
output_provenance_chip_group,chips-external-missing,external_output,provenance_missing,external_origin,false,docs_anchor
output_provenance_chip_group,chips-unknown-stale,unknown_provenance,provenance_stale,unknown_origin,false,no_deep_link
