family,status,qualification,canonical_slot,fallback_slot,dialog_binding,reopen_continuity,focus_retention,os_notification_privacy,window_classes,waiver
notebook,green,stable,main_workspace,main_workspace,bound_to_owning_window_object,reopens_exact_object_or_truthful_placeholder,no_focus_steal_on_typing,privacy_safe_summary_preserves_reopen,primary_workspace_window|secondary_detached_window,none
data_grid,green,stable,main_workspace,main_workspace,bound_to_owning_window_object,reopens_exact_object_or_truthful_placeholder,no_focus_steal_on_typing,privacy_safe_summary_preserves_reopen,primary_workspace_window|secondary_detached_window,none
profiler,green,stable,bottom_panel,transient_overlay,bound_to_owning_window_object,reopens_exact_object_or_truthful_placeholder,no_focus_steal_on_typing,privacy_safe_summary_preserves_reopen,primary_workspace_window|secondary_detached_window|floating_utility_window,none
pipeline,green,stable,main_workspace,bottom_panel,bound_to_owning_window_object,reopens_exact_object_or_truthful_placeholder,no_focus_steal_on_typing,privacy_safe_summary_preserves_reopen,primary_workspace_window|secondary_detached_window,none
docs,yellow,stable,main_workspace,transient_overlay,bound_to_owning_window_object,reopens_exact_object_or_truthful_placeholder,disclosed_deferral_to_badge_or_center,privacy_safe_summary_preserves_reopen,primary_workspace_window|secondary_detached_window|floating_utility_window,none
preview,green,stable,right_inspector,transient_overlay,bound_to_owning_window_object,reopens_exact_object_or_truthful_placeholder,no_focus_steal_on_typing,privacy_safe_summary_preserves_reopen,primary_workspace_window|floating_utility_window|companion_overlay_window,none
review,green,stable,main_workspace,right_inspector,bound_to_owning_window_object,reopens_exact_object_or_truthful_placeholder,no_focus_steal_on_typing,privacy_safe_summary_preserves_reopen,primary_workspace_window|secondary_detached_window,none
incident,yellow,beta,main_workspace,right_inspector,bound_to_owning_window_object,disclosed_placeholder_narrowing,no_focus_steal_on_typing,privacy_safe_summary_preserves_reopen,primary_workspace_window|secondary_detached_window,none
companion,yellow,beta,right_inspector,transient_overlay,disclosed_binding_relocation,reopens_exact_object_or_truthful_placeholder,no_focus_steal_on_typing,privacy_safe_summary_preserves_reopen,primary_workspace_window|companion_overlay_window|floating_utility_window,waiver:companion-binding-relocation:0001
operator,yellow,beta,bottom_panel,transient_overlay,bound_to_owning_window_object,reopens_exact_object_or_truthful_placeholder,no_focus_steal_on_typing,disclosed_minimal_summary,primary_workspace_window|secondary_detached_window|floating_utility_window,none
