family,consumer,representation,platform_fit_role_word,parity_state
platform_convention,shell_ui,desktop_full,window_menu,facets_preserved
platform_convention,docs_help,desktop_full,window_menu,facets_preserved
platform_convention,cli_export,exported_redacted,window_menu,facets_disclosed_narrowed
shortcut_notation,shell_ui,desktop_full,shortcut,facets_preserved
shortcut_notation,settings_ui,desktop_full,shortcut,facets_preserved
shortcut_notation,support_export,exported_redacted,shortcut,facets_disclosed_narrowed
file_path_reveal,settings_ui,desktop_full,path_terminology,facets_preserved
file_path_reveal,docs_help,desktop_full,path_terminology,facets_preserved
file_path_reveal,cli_export,exported_redacted,path_terminology,facets_disclosed_narrowed
theme_contrast_live_change,shell_ui,desktop_full,appearance,facets_preserved
theme_contrast_live_change,settings_ui,desktop_full,appearance,facets_preserved
theme_contrast_live_change,product_ui,remote_projected,appearance,facets_disclosed_narrowed
credential_store_wording,auth_ui,desktop_full,credential_wording,facets_preserved
credential_store_wording,settings_ui,desktop_full,credential_wording,facets_preserved
credential_store_wording,support_export,exported_redacted,credential_wording,facets_disclosed_narrowed
input_method,input_ui,desktop_full,input_fidelity,facets_preserved
input_method,onboarding,compact_narrowed,input_fidelity,facets_disclosed_narrowed
input_method,product_ui,remote_projected,input_fidelity,facets_disclosed_narrowed
