row_id,consumer_group,consumer_surface,component_family,entry_verb,command_id,authority,label_parity,handoff
consumer:start-center:quick-action-open,start_center_palette,start_center_home,start_center_quick_action_card,open,cmd:workspace.open.target,full,preserved,none
consumer:start-center:recent-work-row,start_center_palette,start_center_home,recent_work_row,open_recent,cmd:start_center.open_recent,full,preserved,none
consumer:open-recent:recent-work-row,start_center_palette,open_recent_list,recent_work_row,open_recent,cmd:start_center.open_recent,full,preserved,none
consumer:start-center:restore-prompt,start_center_palette,start_center_home,restore_prompt_card,restore,cmd:workspace.restore_from_checkpoint,full,preserved,none
consumer:start-center:workspace-switcher,start_center_palette,start_center_home,workspace_switcher_entry,resume,cmd:remote.open_session,full,preserved,none
consumer:palette:entry-chooser-open,start_center_palette,command_palette,entry_chooser_row,open,cmd:workspace.open.target,full,preserved,none
consumer:palette:entry-chooser-clone,start_center_palette,command_palette,entry_chooser_row,clone,cmd:workspace.clone_repository,full,preserved,none
consumer:system-open:entry-chooser-open,system_open_intake,system_open_file_association,entry_chooser_row,open,cmd:workspace.open.target,full,preserved,none
consumer:system-open:entry-review-open,system_open_intake,system_open_file_association,entry_review_sheet,open,cmd:workspace.open.target,review_required,disclosed_narrowed,desktop_shell
consumer:drag-drop:destination-collision-clone,system_open_intake,drag_and_drop_intake,destination_collision_sheet,clone,cmd:workspace.clone_repository,review_required,disclosed_narrowed,desktop_shell
consumer:deep-link:entry-review-open,deep_link_handoff,protocol_deep_link,entry_review_sheet,open,cmd:workspace.open.target,review_required,disclosed_narrowed,desktop_shell
consumer:deep-link:review-link-handoff,deep_link_handoff,protocol_deep_link,post_entry_handoff_card,open,cmd:workspace.open.target,read_only,disclosed_narrowed,desktop_shell
consumer:browser-mobile:entry-chooser-clone,deep_link_handoff,browser_mobile_handoff,entry_chooser_row,clone,cmd:workspace.clone_repository,inspect_only,disclosed_narrowed,browser_readonly
consumer:cli:entry-review-import,cli_headless,cli_entry,entry_review_sheet,import,cmd:workspace.import.bundle,full,preserved,none
consumer:cli:archetype-readiness-open,cli_headless,cli_entry,archetype_readiness_row,open,cmd:workspace.open.target,export_only,disclosed_narrowed,handoff_packet
consumer:headless:admission-checkpoint-open,cli_headless,headless_automation,admission_checkpoint_card,open,cmd:workspace.open.target,inspect_only,disclosed_narrowed,desktop_shell
consumer:support-export:recent-work-row,support_diagnostics_docs,support_export_replay,recent_work_row,open_recent,cmd:start_center.open_recent,export_only,disclosed_narrowed,handoff_packet
consumer:support-export:post-entry-handoff-import,support_diagnostics_docs,support_export_replay,post_entry_handoff_card,import,cmd:workspace.import.bundle,export_only,disclosed_narrowed,handoff_packet
consumer:admin-diagnostics:workspace-switcher,support_diagnostics_docs,admin_diagnostics,workspace_switcher_entry,resume,cmd:remote.open_session,read_only,disclosed_narrowed,desktop_shell
consumer:admin-diagnostics:destination-collision-clone,support_diagnostics_docs,admin_diagnostics,destination_collision_sheet,clone,cmd:workspace.clone_repository,read_only,disclosed_narrowed,desktop_shell
consumer:help-docs:entry-chooser-open,support_diagnostics_docs,help_center_docs,entry_chooser_row,open,cmd:workspace.open.target,read_only,disclosed_narrowed,none
consumer:help-docs:restore-prompt,support_diagnostics_docs,help_center_docs,restore_prompt_card,restore,cmd:workspace.restore_from_checkpoint,read_only,disclosed_narrowed,none
