component_family,status,qualification,schema_ref,fixture_ref,first_consumers,downgrade_coverage,copy_contract,export_parity
start_center_quick_action_card,green,stable,schemas/ui/m5-start-center-quick-action-card.schema.json,fixtures/ui/m5-project-entry-components/component_matrix.json,"desktop_shell;start_center;cli_headless;docs_help;release_proof","account_required;unavailable_envelope;pending_evaluation",canonical_labels_no_get_started,support_exportable
recent_work_row,green,stable,schemas/ui/m5-recent-work-row.schema.json,fixtures/ui/m5-project-entry-components/component_matrix.json,"desktop_shell;start_center;open_recent;support_export;release_proof","missing_target;remote_unreachable;cached_only;policy_blocked",canonical_labels_no_get_started,support_exportable
workspace_switcher_entry,green,stable,schemas/ui/m5-workspace-switcher-entry.schema.json,fixtures/ui/m5-project-entry-components/component_matrix.json,"desktop_shell;workspace_switcher;open_recent;support_export;release_proof","authority_expired;suspended_managed_workspace;locked_by_other_instance",canonical_labels_no_get_started,identity_window_profile_remote_dirty_actions_exportable
restore_prompt_card,green,stable,schemas/ui/m5-restore-prompt-card.schema.json,fixtures/ui/m5-project-entry-components/component_matrix.json,"desktop_shell;restore_flow;start_center;support_export;release_proof","layout_only;recovered_drafts;evidence_only",canonical_labels_no_get_started,identity_dirty_safe_mode_clear_journal_evidence_exportable
entry_chooser_row,green,stable,schemas/ui/m5-entry-chooser-row.schema.json,fixtures/ui/m5-project-entry-components/component_matrix.json,"desktop_shell;start_center;entry_review;cli_headless;deep_link;release_proof","reroute_required;target_kind_unresolved;policy_limited",canonical_labels_no_get_started,verb_target_mode_destination_keyboard_exportable
entry_review_sheet,green,stable,schemas/ui/m5-entry-review-sheet.schema.json,fixtures/ui/m5-project-entry-components/component_matrix.json,"desktop_shell;entry_review;cli_headless;support_export;release_proof","review_required;trust_review_required;write_blocked",canonical_labels_no_get_started,literal_target_locator_auth_write_scope_side_effect_retained_input_exportable
destination_collision_sheet,green,stable,schemas/ui/m5-destination-collision-sheet.schema.json,fixtures/ui/m5-project-entry-components/component_matrix.json,"desktop_shell;entry_review;cli_headless;support_export;release_proof","existing_non_empty_path;existing_workspace_file;policy_blocked_destination",canonical_labels_no_get_started,support_exportable
post_entry_handoff_card,green,stable,schemas/ui/m5-post-entry-handoff-card.schema.json,fixtures/ui/m5-project-entry-components/component_matrix.json,"desktop_shell;admission_checkpoint;support_export;docs_help;release_proof","setup_later;review_before_trust;compare_before_restore",canonical_labels_no_get_started,support_exportable
admission_checkpoint_card,green,stable,schemas/ui/m5-admission-checkpoint-card.schema.json,fixtures/ui/m5-project-entry-components/component_matrix.json,"desktop_shell;admission_checkpoint;cli_headless;support_export;release_proof","policy_blocked;missing_prerequisite;needs_repair",canonical_labels_no_get_started,support_exportable
archetype_readiness_row,green,stable,schemas/ui/m5-archetype-readiness-row.schema.json,fixtures/ui/m5-project-entry-components/component_matrix.json,"desktop_shell;admission_checkpoint;docs_help;support_export;release_proof","missing_prerequisite;restricted;mixed",canonical_labels_no_get_started,support_exportable
