control,id,kind_or_destination,outcome_or_boundary,derived,attention_or_accepted
related_evidence_card,evidence-checkout-rounding-tests,test_result,failing,current_evidence,true
related_evidence_card,evidence-checkout-ci,ci_check,passing,current_evidence,false
related_evidence_card,evidence-review-thread,review_thread,informational,stale_evidence,false
related_evidence_card,evidence-local-change,linked_change,passing,local_only_evidence,false
related_evidence_card,evidence-attached-runbook,attached_artifact,unknown_outcome,unknown_freshness,false
related_evidence_card,evidence-adr-reference,external_reference,informational,current_evidence,false
offline_handoff_packet_card,packet-local-draft-hold,local_queue,metadata_safe,held_local_only,false
offline_handoff_packet_card,packet-queued-comment,provider_publish,body_excluded,queued_not_yet_accepted,false
offline_handoff_packet_card,packet-publish-failed,provider_publish,identifiers_masked,publish_failed_retryable,false
offline_handoff_packet_card,packet-exported-file,exported_packet,credentials_scrubbed,exported_for_handoff,false
offline_handoff_packet_card,packet-provider-accepted,provider_publish,full_disclosure_blocked,provider_accepted,true
offline_handoff_packet_card,packet-support-bundle,support_bundle,local_only,exported_for_handoff,false
offline_handoff_packet_card,packet-another-device,another_device,metadata_safe,exported_for_handoff,false
offline_handoff_packet_card,packet-discard-review,discard_after_review,body_excluded,exported_for_handoff,false
