family,consumer,representation,repository_bootstrap_role_word,parity_state
open_local,acquisition_engine,desktop_full,source_locator,facets_preserved
open_local,shell_ui,desktop_full,source_locator,facets_preserved
open_local,cli_export,exported_redacted,source_locator,facets_disclosed_narrowed
clone_remote,git_service,desktop_full,credential_posture,facets_preserved
clone_remote,shell_ui,desktop_full,credential_posture,facets_preserved
clone_remote,support_export,exported_redacted,credential_posture,facets_disclosed_narrowed
open_archive,diagnostics,desktop_full,evidence_packet,facets_preserved
open_archive,acquisition_engine,desktop_full,evidence_packet,facets_preserved
open_archive,workspace_service,remote_projected,evidence_packet,facets_disclosed_narrowed
import_bundle,trust_service,desktop_full,staged_trust,facets_preserved
import_bundle,diagnostics,desktop_full,staged_trust,facets_preserved
import_bundle,docs_help,remote_projected,staged_trust,facets_disclosed_narrowed
resume_snapshot,docs_help,desktop_full,post_open_queue,facets_preserved
resume_snapshot,workspace_service,compact_narrowed,post_open_queue,facets_disclosed_narrowed
resume_snapshot,support_export,exported_redacted,post_open_queue,facets_disclosed_narrowed
